,Unnamed: 0,Spill #,Coordinates,Spill size,Spill Size Type,Resource needed,1st Ranking,Skimmer,Dispersant,Burning materials
176,,o177,"(70.14045441002439, -123.53033843705632)",9810,Large,490.5,CDU,0,800,0
78,,o79,"(63.42721743087256, -74.94781314446465)",4360,Large,218.0,CDU,0,800,0
206,,o207,"(61.2787986028355, -114.41660450627202)",6480,Large,324.0,MCR,54,0,0
162,,o163,"(69.08988419440739, -115.22715167910987)",900,Small,45.0,CDU,0,100,0
46,,o47,"(73.14326416751896, -85.52061338957746)",2400,Medium,120.0,MCR,32,0,0
51,,o52,"(65.41332188088147, -83.14953750470904)",5720,Large,286.0,ISB,0,0,257
153,,o154,"(68.50881850976059, -113.56029332614887)",8620,Large,431.0,MCR,54,0,0
111,,o112,"(79.68636040348753, -86.0582550241544)",2580,Medium,129.0,CDU,0,200,0
100,,o101,"(73.50664632584939, -84.9442531960175)",8370,Large,418.5,ISB,0,0,257
160,,o161,"(68.74592688463166, -113.81078630074735)",9850,Large,492.5,CDU,0,800,0
210,,o211,"(62.374623726294836, -111.61635871906296)",9020,Large,451.0,CDU,0,800,0
118,,o119,"(76.69524596908194, -89.59222304273278)",850,Small,42.5,CDU,0,100,0
180,,o181,"(70.01613233374715, -131.52472400599697)",5400,Large,270.0,MCR,54,0,0
0,,o1,"(63.31720065616187, -90.65327442130385)",20000,ExtLarge,1000.0,CDU,0,1400,0
23,,o24,"(71.0263633424708, -127.7679693701022)",5260,Large,263.0,CDU,0,800,0
58,,o59,"(62.767265615617305, -91.76430214931487)",5320,Large,266.0,ISB,0,0,257
2,,o3,"(60.97260327915446, -93.83363973579043)",8840,Large,442.0,ISB,0,0,257
75,,o76,"(63.96094776208527, -83.26973608946932)",8170,Large,408.5,ISB,0,0,257
57,,o58,"(62.049856834373855, -91.91717874147915)",6540,Large,327.0,ISB,0,0,257
145,,o146,"(67.58089452286133, -107.94493778969186)",6050,Large,302.5,MCR,54,0,0
84,,o85,"(62.628366124753036, -69.90265772988599)",7810,Large,390.5,MCR,54,0,0
163,,o164,"(69.0440875563095, -114.16413103517168)",4480,Large,224.0,ISB,0,0,257
209,,o210,"(61.492133060791765, -113.89151294299599)",180,Small,9.0,CDU,0,100,0
195,,o196,"(67.60082588886198, -134.7428604222584)",7800,Large,390.0,MCR,54,0,0
34,,o35,"(70.39398583832822, -145.02156832230372)",3030,Large,151.5,MCR,54,0,0
199,,o200,"(59.673583631830375, -81.61227363363473)",7290,Large,364.5,MCR,54,0,0
10,,o11,"(73.86053718700006, -82.34430385449997)",670,Small,33.5,ISB,0,0,7
168,,o169,"(70.62487977207968, -124.07225517408429)",7980,Large,399.0,CDU,0,800,0
25,,o26,"(68.84146485450003, -135.93181928799999)",9500,Large,475.0,CDU,0,800,0
99,,o100,"(72.66184316713998, -75.24928853834892)",9590,Large,479.5,CDU,0,800,0
40,,o41,"(71.85665798581917, -119.85768236148976)",6750,Large,337.5,ISB,0,0,257
150,,o151,"(68.13950209511573, -113.42097605555624)",9740,Large,487.0,MCR,54,0,0
7,,o8,"(75.56344329900006, -79.39089303999998)",5460,Large,273.0,ISB,0,0,257
98,,o99,"(72.74823151708713, -78.00626226670953)",2780,Medium,139.0,MCR,32,0,0
164,,o165,"(70.52990316014335, -121.80625539910771)",960,Small,48.0,CDU,0,100,0
53,,o54,"(59.92378260826657, -94.01648338111892)",720,Small,36.0,ISB,0,0,7
71,,o72,"(63.316886379044426, -79.96743737291322)",8500,Large,425.0,MCR,54,0,0
202,,o203,"(65.38888826422587, -65.95218121659215)",5190,Large,259.5,ISB,0,0,257
184,,o185,"(69.95142488481129, -132.67316873673477)",2440,Medium,122.0,MCR,32,0,0
112,,o113,"(79.9892204360485, -86.26046090965922)",6370,Large,318.5,CDU,0,800,0
42,,o43,"(70.5897855138361, -120.20613457011686)",5790,Large,289.5,ISB,0,0,257
32,,o33,"(70.681140207655, -148.33568343024558)",7700,Large,385.0,MCR,54,0,0
203,,o204,"(69.34680717325818, -117.11179869882808)",3820,Large,191.0,MCR,54,0,0
183,,o184,"(70.11707756435888, -131.62072900213448)",620,Small,31.0,ISB,0,0,7
105,,o106,"(72.81168199886528, -77.5384227852805)",8230,Large,411.5,MCR,54,0,0
217,,o218,"(62.88357719363138, -110.37292789149316)",300,Small,15.0,MCR,24,0,0
106,,o107,"(73.60427636290437, -84.55935613723193)",1360,Small,68.0,ISB,0,0,7
157,,o158,"(69.42589738150005, -117.38345517449997)",7090,Large,354.5,CDU,0,800,0
13,,o14,"(63.39009733194669, -90.7178077525147)",6490,Large,324.5,ISB,0,0,257
127,,o128,"(68.92177985598181, -81.01565157444715)",7630,Large,381.5,MCR,54,0,0
215,,o216,"(62.42660173172218, -111.36708095811998)",110,Small,5.5,ISB,0,0,7
138,,o139,"(68.48104166867869, -96.72736543706715)",5970,Large,298.5,MCR,54,0,0
80,,o81,"(62.24416395622328, -69.75069643877805)",1670,Medium,83.5,ISB,0,0,57
196,,o197,"(70.82301519053982, -130.33066350036327)",3920,Large,196.0,CDU,0,800,0
89,,o90,"(60.18887183950005, -63.03309323849996)",5920,Large,296.0,CDU,0,800,0
169,,o170,"(72.71694003783507, -118.48119587376793)",7940,Large,397.0,MCR,54,0,0
137,,o138,"(68.64421655359281, -99.32372466621469)",2730,Medium,136.5,MCR,32,0,0
198,,o199,"(70.60895849948146, -147.15037633401403)",7900,Large,395.0,MCR,54,0,0
218,,o219,"(69.51718037557096, -138.17161442754)",1750,Medium,87.5,CDU,0,200,0
19,,o20,"(60.96414683385387, -115.82371672066182)",8170,Large,408.5,MCR,54,0,0
171,,o172,"(71.65566896158523, -119.64870608943825)",8380,Large,419.0,MCR,54,0,0
108,,o109,"(77.0037458085796, -74.23688601460837)",4050,Large,202.5,CDU,0,800,0
113,,o114,"(79.10568207193272, -85.69568076457762)",5260,Large,263.0,MCR,54,0,0
15,,o16,"(62.00729885632203, -62.82936093819682)",7330,Large,366.5,ISB,0,0,257
175,,o176,"(69.50998600005587, -123.74964599851127)",5280,Large,264.0,MCR,54,0,0
166,,o167,"(70.90146046218906, -125.06163110543224)",2030,Medium,101.5,CDU,0,200,0
181,,o182,"(69.59976646457682, -133.1012802600841)",2560,Medium,128.0,CDU,0,200,0
120,,o121,"(76.79675252883519, -89.62904959361312)",1580,Medium,79.0,MCR,32,0,0
4,,o5,"(60.775278118169076, -63.41212184265701)",1160,Small,58.0,MCR,24,0,0
8,,o9,"(75.5635711076492, -79.39084494539506)",8020,Large,401.0,MCR,54,0,0
41,,o42,"(70.79347316566836, -122.60064198736225)",5430,Large,271.5,MCR,54,0,0
22,,o23,"(71.38061764992644, -127.39770370175974)",7540,Large,377.0,ISB,0,0,257
204,,o205,"(61.295031779690376, -114.58986777481222)",8230,Large,411.5,CDU,0,800,0
172,,o173,"(72.58580863436453, -118.6375989984033)",9440,Large,472.0,CDU,0,800,0
91,,o92,"(66.01402281810057, -66.13428184797341)",5670,Large,283.5,CDU,0,800,0
187,,o188,"(65.37405201963689, -60.65312823153994)",2680,Medium,134.0,MCR,32,0,0
192,,o193,"(62.185464677435625, -121.02513524883052)",8380,Large,419.0,MCR,54,0,0
144,,o145,"(68.90685321866324, -107.22305801736705)",710,Small,35.5,ISB,0,0,7
3,,o4,"(63.99531963827238, -76.21867695117875)",1090,Small,54.5,MCR,24,0,0
66,,o67,"(64.25104027351942, -95.86234765973384)",1300,Small,65.0,ISB,0,0,7
148,,o149,"(66.97133695259294, -107.84159248669971)",590,Small,29.5,MCR,24,0,0
131,,o132,"(69.1313521168679, -94.73537044677148)",3490,Large,174.5,MCR,54,0,0
16,,o17,"(73.863248393878, -82.21842240218626)",6820,Large,341.0,MCR,54,0,0
212,,o213,"(62.65633530378757, -111.28199524772351)",9750,Large,487.5,CDU,0,800,0
205,,o206,"(62.02908923342707, -114.14901178022329)",3130,Large,156.5,ISB,0,0,257
20,,o21,"(61.09720726830651, -115.372447561338)",730,Small,36.5,ISB,0,0,7
133,,o134,"(69.40314705680032, -94.05186925426825)",4440,Large,222.0,CDU,0,800,0
156,,o157,"(68.03663877377954, -112.04399809938704)",8400,Large,420.0,MCR,54,0,0
74,,o75,"(64.05146245505661, -77.44978608987996)",250,Small,12.5,MCR,24,0,0
47,,o48,"(73.1920044233558, -85.01565149145881)",2640,Medium,132.0,MCR,32,0,0
132,,o133,"(68.72025863807426, -95.29801010979064)",2460,Medium,123.0,MCR,32,0,0
49,,o50,"(72.99092099923107, -74.71753868243371)",5470,Large,273.5,CDU,0,800,0
186,,o187,"(69.53712126783223, -133.21758183905516)",5620,Large,281.0,ISB,0,0,257
178,,o179,"(69.57814395413881, -123.63714273588194)",5520,Large,276.0,ISB,0,0,257
177,,o178,"(69.45553911240434, -123.85642478117892)",6160,Large,308.0,MCR,54,0,0
33,,o34,"(70.60729619212601, -149.79801495551752)",4160,Large,208.0,MCR,54,0,0
29,,o30,"(70.20526723210095, -143.45507470347903)",5700,Large,285.0,MCR,54,0,0
185,,o186,"(69.65900176755282, -133.00468643867222)",2900,Large,145.0,CDU,0,800,0
63,,o64,"(62.67141807374207, -91.42074526108482)",5910,Large,295.5,ISB,0,0,257
152,,o153,"(67.96005174954085, -110.29820330849492)",6060,Large,303.0,CDU,0,800,0
