,Unnamed: 0,Spill #,Coordinates,Spill size,Spill Size Type,Resource needed,1st Ranking,Skimmer,Dispersant,Burning materials
73,,o74,"(64.50421666200003, -79.40601964599995)",8500,Large,425,CDU,0,800,0
41,,o42,"(70.79347316566836, -122.60064198736225)",5430,Large,271.5,MCR,54,0,0
218,,o219,"(69.51718037557096, -138.17161442754)",1750,Medium,87.5,CDU,0,200,0
10,,o11,"(73.86053718700006, -82.34430385449997)",670,Small,33.5,ISB,0,0,7
160,,o161,"(68.74592688463166, -113.81078630074735)",9850,Large,492.5,CDU,0,800,0
208,,o209,"(61.48567202760547, -114.25987964031395)",20,Small,1,MCR,24,0,0
129,,o130,"(69.49515090110985, -93.58442983407755)",3230,Large,161.5,ISB,0,0,257
222,,o223,"(69.16983336558708, -137.1909711618563)",6570,Large,328.5,ISB,0,0,257
55,,o56,"(61.28059062663438, -93.24050320300437)",3830,Large,191.5,ISB,0,0,257
61,,o62,"(61.6692048307691, -92.63760265599092)",8610,Large,430.5,MCR,54,0,0
113,,o114,"(79.10568207193272, -85.69568076457762)",5260,Large,263,MCR,54,0,0
143,,o144,"(68.71480928423397, -108.55260897253204)",4000,Large,200,MCR,54,0,0
33,,o34,"(70.60729619212601, -149.79801495551752)",4160,Large,208,MCR,54,0,0
114,,o115,"(79.48266733782832, -85.11285455775378)",3090,Large,154.5,MCR,54,0,0
102,,o103,"(73.9533098894819, -84.66397820780995)",2340,Medium,117,CDU,0,200,0
79,,o80,"(62.41069781400306, -71.18104756525088)",3740,Large,187,ISB,0,0,257
82,,o83,"(63.41049885410371, -68.10900360449682)",8120,Large,406,MCR,54,0,0
20,,o21,"(61.09720726830651, -115.372447561338)",730,Small,36.5,ISB,0,0,7
108,,o109,"(77.0037458085796, -74.23688601460837)",4050,Large,202.5,CDU,0,800,0
177,,o178,"(69.45553911240434, -123.85642478117892)",6160,Large,308,MCR,54,0,0
117,,o118,"(77.6400001381179, -88.78879612162706)",7250,Large,362.5,ISB,0,0,257
54,,o55,"(58.98118836700004, -94.19345370699995)",690,Small,34.5,MCR,24,0,0
46,,o47,"(73.14326416751896, -85.52061338957746)",2400,Medium,120,MCR,32,0,0
164,,o165,"(70.52990316014335, -121.80625539910771)",960,Small,48,CDU,0,100,0
172,,o173,"(72.58580863436453, -118.6375989984033)",9440,Large,472,CDU,0,800,0
8,,o9,"(75.5635711076492, -79.39084494539506)",8020,Large,401,MCR,54,0,0
184,,o185,"(69.95142488481129, -132.67316873673477)",2440,Medium,122,MCR,32,0,0
93,,o94,"(67.56401598135764, -62.579477186699386)",7770,Large,388.5,ISB,0,0,257
32,,o33,"(70.681140207655, -148.33568343024558)",7700,Large,385,MCR,54,0,0
27,,o28,"(69.80766220076015, -140.9624611305343)",20,Small,1,MCR,24,0,0
106,,o107,"(73.60427636290437, -84.55935613723193)",1360,Small,68,ISB,0,0,7
107,,o108,"(74.13041980846197, -87.60536813220666)",250,Small,12.5,ISB,0,0,7
120,,o121,"(76.79675252883519, -89.62904959361312)",1580,Medium,79,MCR,32,0,0
76,,o77,"(63.850499892280624, -83.37589951127687)",3730,Large,186.5,ISB,0,0,257
214,,o215,"(62.876152621334256, -109.93912844523146)",5690,Large,284.5,CDU,0,800,0
178,,o179,"(69.57814395413881, -123.63714273588194)",5520,Large,276,ISB,0,0,257
159,,o160,"(69.08845131190975, -114.56139924764797)",250,Small,12.5,CDU,0,100,0
186,,o187,"(69.53712126783223, -133.21758183905516)",5620,Large,281,ISB,0,0,257
24,,o25,"(69.62626467075341, -138.8750452576395)",8980,Large,449,MCR,54,0,0
104,,o105,"(73.88189194550003, -78.43285281799996)",7320,Large,366,MCR,54,0,0
12,,o13,"(68.62536468650006, -95.83653120849996)",6160,Large,308,CDU,0,800,0
124,,o125,"(74.35211516052063, -90.19837219704148)",930,Small,46.5,CDU,0,100,0
196,,o197,"(70.82301519053982, -130.33066350036327)",3920,Large,196,CDU,0,800,0
67,,o68,"(64.17368927156971, -95.39797114837724)",9690,Large,484.5,ISB,0,0,257
134,,o135,"(69.22765564655587, -94.64195473794307)",3330,Large,166.5,MCR,54,0,0
37,,o38,"(70.71465633784543, -122.91004344688142)",7820,Large,391,ISB,0,0,257
40,,o41,"(71.85665798581917, -119.85768236148976)",6750,Large,337.5,ISB,0,0,257
58,,o59,"(62.767265615617305, -91.76430214931487)",5320,Large,266,ISB,0,0,257
165,,o166,"(69.86841673337953, -118.9489084963011)",5500,Large,275,CDU,0,800,0
191,,o192,"(68.70553599203063, -134.23381941293684)",6430,Large,321.5,ISB,0,0,257
126,,o127,"(69.34861658538865, -81.73474662214561)",4650,Large,232.5,MCR,54,0,0
215,,o216,"(62.42660173172218, -111.36708095811998)",110,Small,5.5,ISB,0,0,7
90,,o91,"(61.690864687328215, -64.0055591963873)",7980,Large,399,ISB,0,0,257
175,,o176,"(69.50998600005587, -123.74964599851127)",5280,Large,264,MCR,54,0,0
35,,o36,"(70.50120289325197, -147.62753194607055)",8860,Large,443,CDU,0,800,0
204,,o205,"(61.295031779690376, -114.58986777481222)",8230,Large,411.5,CDU,0,800,0
217,,o218,"(62.88357719363138, -110.37292789149316)",300,Small,15,MCR,24,0,0
130,,o131,"(69.31371327858832, -94.53252534894514)",480,Small,24,MCR,24,0,0
110,,o111,"(77.3499153736386, -69.69027455288698)",9950,Large,497.5,CDU,0,800,0
202,,o203,"(65.38888826422587, -65.95218121659215)",5190,Large,259.5,ISB,0,0,257
123,,o124,"(74.247414220806, -88.98871993609323)",7270,Large,363.5,MCR,54,0,0
31,,o32,"(70.63114828207598, -158.272597974529)",5430,Large,271.5,ISB,0,0,257
101,,o102,"(73.77195906965841, -83.41024103851763)",3870,Large,193.5,ISB,0,0,257
153,,o154,"(68.50881850976059, -113.56029332614887)",8620,Large,431,MCR,54,0,0
36,,o37,"(70.920489636791, -124.56449416662973)",5830,Large,291.5,CDU,0,800,0
121,,o122,"(76.5737164359083, -89.68934613747211)",2160,Medium,108,MCR,32,0,0
66,,o67,"(64.25104027351942, -95.86234765973384)",1300,Small,65,ISB,0,0,7
1,,o2,"(61.99735832040513, -92.36804572739923)",21000,ExtLarge,1050,MCR,78,0,0
151,,o152,"(68.27685061325028, -110.11202537942772)",930,Small,46.5,MCR,24,0,0
144,,o145,"(68.90685321866324, -107.22305801736705)",710,Small,35.5,ISB,0,0,7
59,,o60,"(62.90883739440742, -90.87543554540392)",9880,Large,494,MCR,54,0,0
69,,o70,"(63.90441278513503, -83.32247025405422)",9900,Large,495,MCR,54,0,0
205,,o206,"(62.02908923342707, -114.14901178022329)",3130,Large,156.5,ISB,0,0,257
122,,o123,"(74.44817555033204, -92.63255379086462)",9070,Large,453.5,ISB,0,0,257
86,,o87,"(60.33390402693301, -63.1711776709703)",7110,Large,355.5,CDU,0,800,0
118,,o119,"(76.69524596908194, -89.59222304273278)",850,Small,42.5,CDU,0,100,0
9,,o10,"(71.31437035269701, -69.4633863811805)",850,Small,42.5,ISB,0,0,7
53,,o54,"(59.92378260826657, -94.01648338111892)",720,Small,36,ISB,0,0,7
173,,o174,"(72.04548849091111, -119.40991256546548)",800,Small,40,CDU,0,100,0
18,,o19,"(69.01970338203198, -105.17880159715504)",5540,Large,277,MCR,54,0,0
139,,o140,"(68.61088316065039, -100.47098567249687)",7540,Large,377,CDU,0,800,0
2,,o3,"(60.97260327915446, -93.83363973579043)",8840,Large,442,ISB,0,0,257
167,,o168,"(70.29243949457306, -120.60523346924136)",1150,Small,57.5,ISB,0,0,7
14,,o15,"(61.23324144502647, -66.39771324484083)",2750,Medium,137.5,ISB,0,0,57
192,,o193,"(62.185464677435625, -121.02513524883052)",8380,Large,419,MCR,54,0,0
198,,o199,"(70.60895849948146, -147.15037633401403)",7900,Large,395,MCR,54,0,0
23,,o24,"(71.0263633424708, -127.7679693701022)",5260,Large,263,CDU,0,800,0
220,,o221,"(68.96225805552139, -136.55228962883257)",7100,Large,355,CDU,0,800,0
72,,o73,"(63.72899507480532, -78.1097043191964)",3950,Large,197.5,CDU,0,800,0
105,,o106,"(72.81168199886528, -77.5384227852805)",8230,Large,411.5,MCR,54,0,0
216,,o217,"(62.83142365858523, -109.67662006555832)",2050,Medium,102.5,MCR,32,0,0
29,,o30,"(70.20526723210095, -143.45507470347903)",5700,Large,285,MCR,54,0,0
15,,o16,"(62.00729885632203, -62.82936093819682)",7330,Large,366.5,ISB,0,0,257
188,,o189,"(68.67783396782777, -64.47432715663773)",7730,Large,386.5,MCR,54,0,0
97,,o98,"(73.85872545439102, -77.06292927588505)",4820,Large,241,MCR,54,0,0
209,,o210,"(61.492133060791765, -113.89151294299599)",180,Small,9,CDU,0,100,0
48,,o49,"(74.29436777063665, -76.886204417729)",1260,Small,63,CDU,0,100,0
219,,o220,"(69.24304799574003, -137.32628644705787)",40,Small,2,CDU,0,100,0
181,,o182,"(69.59976646457682, -133.1012802600841)",2560,Medium,128,CDU,0,200,0
223,,o224,"(69.16983336558708, -138.1909711618563)",1820,Medium,91,CDU,0,200,0
