,Unnamed: 0,Spill #,Coordinates,Spill size,Spill Size Type,Resource needed,1st Ranking,Skimmer,Dispersant,Burning materials
181,,o182,"(69.59976646457682, -133.1012802600841)",2560,Medium,128.0,CDU,0,200,0
112,,o113,"(79.9892204360485, -86.26046090965922)",6370,Large,318.5,CDU,0,800,0
173,,o174,"(72.04548849091111, -119.40991256546548)",800,Small,40.0,CDU,0,100,0
147,,o148,"(67.18986663807861, -107.7369304833852)",8640,Large,432.0,ISB,0,0,257
200,,o201,"(66.82674006457319, -80.42932645870972)",3140,Large,157.0,CDU,0,800,0
180,,o181,"(70.01613233374715, -131.52472400599697)",5400,Large,270.0,MCR,54,0,0
98,,o99,"(72.74823151708713, -78.00626226670953)",2780,Medium,139.0,MCR,32,0,0
183,,o184,"(70.11707756435888, -131.62072900213448)",620,Small,31.0,ISB,0,0,7
30,,o31,"(70.57213696968427, -148.17541107965772)",8860,Large,443.0,CDU,0,800,0
76,,o77,"(63.850499892280624, -83.37589951127687)",3730,Large,186.5,ISB,0,0,257
44,,o45,"(63.01325610670355, -87.62855894112394)",6320,Large,316.0,CDU,0,800,0
35,,o36,"(70.50120289325197, -147.62753194607055)",8860,Large,443.0,CDU,0,800,0
197,,o198,"(70.39901825346506, -131.88027587601508)",520,Small,26.0,MCR,24,0,0
26,,o27,"(69.72113519208533, -139.68410856539091)",9260,Large,463.0,CDU,0,800,0
126,,o127,"(69.34861658538865, -81.73474662214561)",4650,Large,232.5,MCR,54,0,0
8,,o9,"(75.5635711076492, -79.39084494539506)",8020,Large,401.0,MCR,54,0,0
58,,o59,"(62.767265615617305, -91.76430214931487)",5320,Large,266.0,ISB,0,0,257
158,,o159,"(69.17592919912612, -116.22757658575439)",2510,Medium,125.5,ISB,0,0,57
5,,o6,"(67.74870709975156, -63.582037936715594)",1280,Small,64.0,ISB,0,0,7
29,,o30,"(70.20526723210095, -143.45507470347903)",5700,Large,285.0,MCR,54,0,0
25,,o26,"(68.84146485450003, -135.93181928799999)",9500,Large,475.0,CDU,0,800,0
177,,o178,"(69.45553911240434, -123.85642478117892)",6160,Large,308.0,MCR,54,0,0
85,,o86,"(63.019468234716875, -67.15623917813694)",4510,Large,225.5,MCR,54,0,0
179,,o180,"(70.49096884891965, -131.42970680507597)",6690,Large,334.5,CDU,0,800,0
175,,o176,"(69.50998600005587, -123.74964599851127)",5280,Large,264.0,MCR,54,0,0
142,,o143,"(68.94250642624877, -106.2117851254049)",6440,Large,322.0,ISB,0,0,257
128,,o129,"(69.29654090896803, -81.60262809346669)",8910,Large,445.5,CDU,0,800,0
139,,o140,"(68.61088316065039, -100.47098567249687)",7540,Large,377.0,CDU,0,800,0
45,,o46,"(63.234507475578994, -82.34986282998018)",6280,Large,314.0,CDU,0,800,0
84,,o85,"(62.628366124753036, -69.90265772988599)",7810,Large,390.5,MCR,54,0,0
91,,o92,"(66.01402281810057, -66.13428184797341)",5670,Large,283.5,CDU,0,800,0
172,,o173,"(72.58580863436453, -118.6375989984033)",9440,Large,472.0,CDU,0,800,0
171,,o172,"(71.65566896158523, -119.64870608943825)",8380,Large,419.0,MCR,54,0,0
4,,o5,"(60.775278118169076, -63.41212184265701)",1160,Small,58.0,MCR,24,0,0
189,,o190,"(63.97208477287499, -93.7814628552864)",8620,Large,431.0,ISB,0,0,257
123,,o124,"(74.247414220806, -88.98871993609323)",7270,Large,363.5,MCR,54,0,0
161,,o162,"(69.47676593300005, -117.55508288599998)",3230,Large,161.5,ISB,0,0,257
208,,o209,"(61.48567202760547, -114.25987964031395)",20,Small,1.0,MCR,24,0,0
28,,o29,"(70.09494677297306, -141.87073425638323)",1090,Small,54.5,CDU,0,100,0
136,,o137,"(68.60055405743331, -103.02692376758618)",4420,Large,221.0,ISB,0,0,257
169,,o170,"(72.71694003783507, -118.48119587376793)",7940,Large,397.0,MCR,54,0,0
94,,o95,"(67.38710856267873, -62.07480657202071)",2610,Medium,130.5,ISB,0,0,57
88,,o89,"(61.433132300613266, -63.697139433135625)",3180,Large,159.0,MCR,54,0,0
67,,o68,"(64.17368927156971, -95.39797114837724)",9690,Large,484.5,ISB,0,0,257
89,,o90,"(60.18887183950005, -63.03309323849996)",5920,Large,296.0,CDU,0,800,0
86,,o87,"(60.33390402693301, -63.1711776709703)",7110,Large,355.5,CDU,0,800,0
119,,o120,"(76.18642266759578, -85.19263923120073)",7110,Large,355.5,ISB,0,0,257
46,,o47,"(73.14326416751896, -85.52061338957746)",2400,Medium,120.0,MCR,32,0,0
9,,o10,"(71.31437035269701, -69.4633863811805)",850,Small,42.5,ISB,0,0,7
87,,o88,"(62.320885889767744, -65.36742522113936)",3850,Large,192.5,MCR,54,0,0
110,,o111,"(77.3499153736386, -69.69027455288698)",9950,Large,497.5,CDU,0,800,0
65,,o66,"(62.621525060942545, -91.40995008573063)",5080,Large,254.0,CDU,0,800,0
60,,o61,"(62.511501191529646, -91.4601644059024)",6430,Large,321.5,ISB,0,0,257
95,,o96,"(75.6673922554978, -79.75706546803721)",2850,Large,142.5,ISB,0,0,257
39,,o40,"(71.09250978235556, -120.92531763952243)",6340,Large,317.0,MCR,54,0,0
214,,o215,"(62.876152621334256, -109.93912844523146)",5690,Large,284.5,CDU,0,800,0
59,,o60,"(62.90883739440742, -90.87543554540392)",9880,Large,494.0,MCR,54,0,0
141,,o142,"(68.84458532453783, -107.97645179587276)",8870,Large,443.5,CDU,0,800,0
92,,o93,"(64.23984829032568, -63.44266050044166)",7420,Large,371.0,MCR,54,0,0
146,,o147,"(67.7826361707032, -108.49048393954631)",400,Small,20.0,ISB,0,0,7
167,,o168,"(70.29243949457306, -120.60523346924136)",1150,Small,57.5,ISB,0,0,7
54,,o55,"(58.98118836700004, -94.19345370699995)",690,Small,34.5,MCR,24,0,0
93,,o94,"(67.56401598135764, -62.579477186699386)",7770,Large,388.5,ISB,0,0,257
150,,o151,"(68.13950209511573, -113.42097605555624)",9740,Large,487.0,MCR,54,0,0
49,,o50,"(72.99092099923107, -74.71753868243371)",5470,Large,273.5,CDU,0,800,0
41,,o42,"(70.79347316566836, -122.60064198736225)",5430,Large,271.5,MCR,54,0,0
62,,o63,"(62.38534533059043, -91.54392333940193)",7530,Large,376.5,ISB,0,0,257
51,,o52,"(65.41332188088147, -83.14953750470904)",5720,Large,286.0,ISB,0,0,257
162,,o163,"(69.08988419440739, -115.22715167910987)",900,Small,45.0,CDU,0,100,0
160,,o161,"(68.74592688463166, -113.81078630074735)",9850,Large,492.5,CDU,0,800,0
83,,o84,"(63.0117192156485, -73.35447129239368)",4460,Large,223.0,CDU,0,800,0
116,,o117,"(78.62786983215882, -87.32536080101707)",3840,Large,192.0,MCR,54,0,0
213,,o214,"(62.76846511499132, -109.3384734295116)",1530,Medium,76.5,CDU,0,200,0
7,,o8,"(75.56344329900006, -79.39089303999998)",5460,Large,273.0,ISB,0,0,257
130,,o131,"(69.31371327858832, -94.53252534894514)",480,Small,24.0,MCR,24,0,0
24,,o25,"(69.62626467075341, -138.8750452576395)",8980,Large,449.0,MCR,54,0,0
168,,o169,"(70.62487977207968, -124.07225517408429)",7980,Large,399.0,CDU,0,800,0
143,,o144,"(68.71480928423397, -108.55260897253204)",4000,Large,200.0,MCR,54,0,0
103,,o104,"(75.79558375563647, -80.47523646154465)",2870,Large,143.5,CDU,0,800,0
68,,o69,"(64.05066024217525, -83.19338002718928)",670,Small,33.5,MCR,24,0,0
222,,o223,"(69.16983336558708, -137.1909711618563)",6570,Large,328.5,ISB,0,0,257
47,,o48,"(73.1920044233558, -85.01565149145881)",2640,Medium,132.0,MCR,32,0,0
188,,o189,"(68.67783396782777, -64.47432715663773)",7730,Large,386.5,MCR,54,0,0
61,,o62,"(61.6692048307691, -92.63760265599092)",8610,Large,430.5,MCR,54,0,0
209,,o210,"(61.492133060791765, -113.89151294299599)",180,Small,9.0,CDU,0,100,0
23,,o24,"(71.0263633424708, -127.7679693701022)",5260,Large,263.0,CDU,0,800,0
121,,o122,"(76.5737164359083, -89.68934613747211)",2160,Medium,108.0,MCR,32,0,0
82,,o83,"(63.41049885410371, -68.10900360449682)",8120,Large,406.0,MCR,54,0,0
137,,o138,"(68.64421655359281, -99.32372466621469)",2730,Medium,136.5,MCR,32,0,0
127,,o128,"(68.92177985598181, -81.01565157444715)",7630,Large,381.5,MCR,54,0,0
55,,o56,"(61.28059062663438, -93.24050320300437)",3830,Large,191.5,ISB,0,0,257
71,,o72,"(63.316886379044426, -79.96743737291322)",8500,Large,425.0,MCR,54,0,0
196,,o197,"(70.82301519053982, -130.33066350036327)",3920,Large,196.0,CDU,0,800,0
138,,o139,"(68.48104166867869, -96.72736543706715)",5970,Large,298.5,MCR,54,0,0
80,,o81,"(62.24416395622328, -69.75069643877805)",1670,Medium,83.5,ISB,0,0,57
64,,o65,"(62.66616809334966, -91.38626790248023)",3820,Large,191.0,ISB,0,0,257
12,,o13,"(68.62536468650006, -95.83653120849996)",6160,Large,308.0,CDU,0,800,0
32,,o33,"(70.681140207655, -148.33568343024558)",7700,Large,385.0,MCR,54,0,0
159,,o160,"(69.08845131190975, -114.56139924764797)",250,Small,12.5,CDU,0,100,0
211,,o212,"(62.443606696917364, -111.00252710256193)",5110,Large,255.5,ISB,0,0,257
