Spill #,Coordinates,Spill size,Spill Size Type,Resource needed,1st Ranking,Skimmer,Dispersant,Burning materials
o1,"(70.14045441002439, -123.53033843705632)",9810,Large,490.5,CDU,0,800,0
o2,"(69.57814395413881, -123.63714273588194)",5520,Large,276,ISB,0,0,257
o3,"(69.03035256138071, -94.82276525307002)",1840,Medium,92,MCR,32,0,0
o4,"(69.42589738150005, -117.38345517449997)",7090,Large,354.5,CDU,0,800,0
o5,"(63.019468234716875, -67.15623917813694)",4510,Large,225.5,MCR,54,0,0
o6,"(58.851133884186325, -94.20693472697955)",3200,Large,160,ISB,0,0,257
o7,"(63.99531963827238, -76.21867695117875)",1090,Small,54.5,MCR,24,0,0
o8,"(68.03663877377954, -112.04399809938704)",8400,Large,420,MCR,54,0,0
o9,"(70.79347316566836, -122.60064198736225)",5430,Large,271.5,MCR,54,0,0
o10,"(73.86053718700006, -82.34430385449997)",670,Small,33.5,ISB,0,0,7
o11,"(62.621525060942545, -91.40995008573063)",5080,Large,254,CDU,0,800,0
o12,"(70.39901825346506, -131.88027587601508)",520,Small,26,MCR,24,0,0
o13,"(66.34168907989162, -129.46790900649174)",9580,Large,479,ISB,0,0,257
o14,"(71.0263633424708, -127.7679693701022)",5260,Large,263,CDU,0,800,0
o15,"(63.234507475578994, -82.34986282998018)",6280,Large,314,CDU,0,800,0
o16,"(62.628366124753036, -69.90265772988599)",7810,Large,390.5,MCR,54,0,0
o17,"(70.57213696968427, -148.17541107965772)",8860,Large,443,CDU,0,800,0
o18,"(62.876152621334256, -109.93912844523146)",5690,Large,284.5,CDU,0,800,0
o19,"(69.0440875563095, -114.16413103517168)",4480,Large,224,ISB,0,0,257
o20,"(74.247414220806, -88.98871993609323)",7270,Large,363.5,MCR,54,0,0
o21,"(70.09494677297306, -141.87073425638323)",1090,Small,54.5,CDU,0,100,0
o22,"(69.01970338203198, -105.17880159715504)",5540,Large,277,MCR,54,0,0
o23,"(63.96094776208527, -83.26973608946932)",8170,Large,408.5,ISB,0,0,257
o24,"(68.48104166867869, -96.72736543706715)",5970,Large,298.5,MCR,54,0,0
o25,"(69.45553911240434, -123.85642478117892)",6160,Large,308,MCR,54,0,0
o26,"(59.92378260826657, -94.01648338111892)",720,Small,36,ISB,0,0,7
o27,"(62.24416395622328, -69.75069643877805)",1670,Medium,83.5,ISB,0,0,57
o28,"(61.690864687328215, -64.0055591963873)",7980,Large,399,ISB,0,0,257
o29,"(61.23324144502647, -66.39771324484083)",2750,Medium,137.5,ISB,0,0,57
o30,"(62.76846511499132, -109.3384734295116)",1530,Medium,76.5,CDU,0,200,0
o31,"(69.08845131190975, -114.56139924764797)",250,Small,12.5,CDU,0,100,0
o32,"(63.97208477287499, -93.7814628552864)",8620,Large,431,ISB,0,0,257
o33,"(63.44877230291223, -79.56227451700632)",5290,Large,264.5,MCR,54,0,0
o34,"(63.0117192156485, -73.35447129239368)",4460,Large,223,CDU,0,800,0
o35,"(69.80766220076015, -140.9624611305343)",20,Small,1,MCR,24,0,0
o36,"(70.52990316014335, -121.80625539910771)",960,Small,48,CDU,0,100,0
o37,"(69.65900176755282, -133.00468643867222)",2900,Large,145,CDU,0,800,0
o38,"(67.58089452286133, -107.94493778969186)",6050,Large,302.5,MCR,54,0,0
o39,"(62.66616809334966, -91.38626790248023)",3820,Large,191,ISB,0,0,257
o40,"(79.68636040348753, -86.0582550241544)",2580,Medium,129,CDU,0,200,0
o41,"(65.41332188088147, -83.14953750470904)",5720,Large,286,ISB,0,0,257
o42,"(72.99092099923107, -74.71753868243371)",5470,Large,273.5,CDU,0,800,0
o43,"(61.2787986028355, -114.41660450627202)",6480,Large,324,MCR,54,0,0
o44,"(73.85872545439102, -77.06292927588505)",4820,Large,241,MCR,54,0,0
o45,"(75.79558375563647, -80.47523646154465)",2870,Large,143.5,CDU,0,800,0
o46,"(63.4618611501623, -83.8871133493362)",870,Small,43.5,ISB,0,0,7
o47,"(68.84146485450003, -135.93181928799999)",9500,Large,475,CDU,0,800,0
o48,"(69.24304799574003, -137.32628644705787)",40,Small,2,CDU,0,100,0
o49,"(62.67141807374207, -91.42074526108482)",5910,Large,295.5,ISB,0,0,257
o50,"(65.38888826422587, -65.95218121659215)",5190,Large,259.5,ISB,0,0,257
o51,"(68.50881850976059, -113.56029332614887)",8620,Large,431,MCR,54,0,0
o52,"(75.6673922554978, -79.75706546803721)",2850,Large,142.5,ISB,0,0,257
o53,"(68.60055405743331, -103.02692376758618)",4420,Large,221,ISB,0,0,257
o54,"(73.863248393878, -82.21842240218626)",6820,Large,341,MCR,54,0,0
o55,"(61.295031779690376, -114.58986777481222)",8230,Large,411.5,CDU,0,800,0
o56,"(64.50421666200003, -79.40601964599995)",8500,Large,425,CDU,0,800,0
