Spill #,Coordinates,Spill size,Spill Size Type,Resource needed,1st Ranking,Skimmer,Dispersant,Burning materials
o1,"(70.14045441002439, -123.53033843705632)",9810,Large,490.5,CDU,0,800,0
o2,"(63.42721743087256, -74.94781314446465)",4360,Large,218,CDU,0,800,0
o3,"(61.2787986028355, -114.41660450627202)",6480,Large,324,MCR,54,0,0
o4,"(69.08988419440739, -115.22715167910987)",900,Small,45,CDU,0,100,0
o5,"(73.14326416751896, -85.52061338957746)",2400,Medium,120,MCR,32,0,0
o6,"(65.41332188088147, -83.14953750470904)",5720,Large,286,ISB,0,0,257
o7,"(68.50881850976059, -113.56029332614887)",8620,Large,431,MCR,54,0,0
o8,"(79.68636040348753, -86.0582550241544)",2580,Medium,129,CDU,0,200,0
o9,"(73.50664632584939, -84.9442531960175)",8370,Large,418.5,ISB,0,0,257
o10,"(68.74592688463166, -113.81078630074735)",9850,Large,492.5,CDU,0,800,0
o11,"(62.374623726294836, -111.61635871906296)",9020,Large,451,CDU,0,800,0
o12,"(76.69524596908194, -89.59222304273278)",850,Small,42.5,CDU,0,100,0
o13,"(70.01613233374715, -131.52472400599697)",5400,Large,270,MCR,54,0,0
o14,"(63.31720065616187, -90.65327442130385)",20000,ExtLarge,1000,CDU,0,1400,0
o15,"(71.0263633424708, -127.7679693701022)",5260,Large,263,CDU,0,800,0
o16,"(62.767265615617305, -91.76430214931487)",5320,Large,266,ISB,0,0,257
o17,"(60.97260327915446, -93.83363973579043)",8840,Large,442,ISB,0,0,257
o18,"(63.96094776208527, -83.26973608946932)",8170,Large,408.5,ISB,0,0,257
o19,"(62.049856834373855, -91.91717874147915)",6540,Large,327,ISB,0,0,257
o20,"(67.58089452286133, -107.94493778969186)",6050,Large,302.5,MCR,54,0,0
o21,"(62.628366124753036, -69.90265772988599)",7810,Large,390.5,MCR,54,0,0
o22,"(69.0440875563095, -114.16413103517168)",4480,Large,224,ISB,0,0,257
o23,"(61.492133060791765, -113.89151294299599)",180,Small,9,CDU,0,100,0
o24,"(67.60082588886198, -134.7428604222584)",7800,Large,390,MCR,54,0,0
o25,"(70.39398583832822, -145.02156832230372)",3030,Large,151.5,MCR,54,0,0
o26,"(59.673583631830375, -81.61227363363473)",7290,Large,364.5,MCR,54,0,0
o27,"(73.86053718700006, -82.34430385449997)",670,Small,33.5,ISB,0,0,7
o28,"(70.62487977207968, -124.07225517408429)",7980,Large,399,CDU,0,800,0
o29,"(68.84146485450003, -135.93181928799999)",9500,Large,475,CDU,0,800,0
o30,"(72.66184316713998, -75.24928853834892)",9590,Large,479.5,CDU,0,800,0
o31,"(71.85665798581917, -119.85768236148976)",6750,Large,337.5,ISB,0,0,257
o32,"(68.13950209511573, -113.42097605555624)",9740,Large,487,MCR,54,0,0
o33,"(75.56344329900006, -79.39089303999998)",5460,Large,273,ISB,0,0,257
o34,"(72.74823151708713, -78.00626226670953)",2780,Medium,139,MCR,32,0,0
o35,"(70.52990316014335, -121.80625539910771)",960,Small,48,CDU,0,100,0
o36,"(59.92378260826657, -94.01648338111892)",720,Small,36,ISB,0,0,7
o37,"(63.316886379044426, -79.96743737291322)",8500,Large,425,MCR,54,0,0
o38,"(65.38888826422587, -65.95218121659215)",5190,Large,259.5,ISB,0,0,257
o39,"(69.95142488481129, -132.67316873673477)",2440,Medium,122,MCR,32,0,0
o40,"(79.9892204360485, -86.26046090965922)",6370,Large,318.5,CDU,0,800,0
o41,"(70.5897855138361, -120.20613457011686)",5790,Large,289.5,ISB,0,0,257
o42,"(70.681140207655, -148.33568343024558)",7700,Large,385,MCR,54,0,0
o43,"(69.34680717325818, -117.11179869882808)",3820,Large,191,MCR,54,0,0
o44,"(70.11707756435888, -131.62072900213448)",620,Small,31,ISB,0,0,7
o45,"(72.81168199886528, -77.5384227852805)",8230,Large,411.5,MCR,54,0,0
o46,"(62.88357719363138, -110.37292789149316)",300,Small,15,MCR,24,0,0
o47,"(73.60427636290437, -84.55935613723193)",1360,Small,68,ISB,0,0,7
o48,"(69.42589738150005, -117.38345517449997)",7090,Large,354.5,CDU,0,800,0
o49,"(63.39009733194669, -90.7178077525147)",6490,Large,324.5,ISB,0,0,257
o50,"(68.92177985598181, -81.01565157444715)",7630,Large,381.5,MCR,54,0,0
o51,"(62.42660173172218, -111.36708095811998)",110,Small,5.5,ISB,0,0,7
o52,"(68.48104166867869, -96.72736543706715)",5970,Large,298.5,MCR,54,0,0
o53,"(62.24416395622328, -69.75069643877805)",1670,Medium,83.5,ISB,0,0,57
o54,"(70.82301519053982, -130.33066350036327)",3920,Large,196,CDU,0,800,0
o55,"(60.18887183950005, -63.03309323849996)",5920,Large,296,CDU,0,800,0
o56,"(72.71694003783507, -118.48119587376793)",7940,Large,397,MCR,54,0,0
o57,"(68.64421655359281, -99.32372466621469)",2730,Medium,136.5,MCR,32,0,0
o58,"(70.60895849948146, -147.15037633401403)",7900,Large,395,MCR,54,0,0
o59,"(69.51718037557096, -138.17161442754)",1750,Medium,87.5,CDU,0,200,0
o60,"(60.96414683385387, -115.82371672066182)",8170,Large,408.5,MCR,54,0,0
o61,"(71.65566896158523, -119.64870608943825)",8380,Large,419,MCR,54,0,0
o62,"(77.0037458085796, -74.23688601460837)",4050,Large,202.5,CDU,0,800,0
o63,"(79.10568207193272, -85.69568076457762)",5260,Large,263,MCR,54,0,0
o64,"(62.00729885632203, -62.82936093819682)",7330,Large,366.5,ISB,0,0,257
o65,"(69.50998600005587, -123.74964599851127)",5280,Large,264,MCR,54,0,0
o66,"(70.90146046218906, -125.06163110543224)",2030,Medium,101.5,CDU,0,200,0
o67,"(69.59976646457682, -133.1012802600841)",2560,Medium,128,CDU,0,200,0
o68,"(76.79675252883519, -89.62904959361312)",1580,Medium,79,MCR,32,0,0
o69,"(60.775278118169076, -63.41212184265701)",1160,Small,58,MCR,24,0,0
o70,"(75.5635711076492, -79.39084494539506)",8020,Large,401,MCR,54,0,0
o71,"(70.79347316566836, -122.60064198736225)",5430,Large,271.5,MCR,54,0,0
o72,"(71.38061764992644, -127.39770370175974)",7540,Large,377,ISB,0,0,257
o73,"(61.295031779690376, -114.58986777481222)",8230,Large,411.5,CDU,0,800,0
o74,"(72.58580863436453, -118.6375989984033)",9440,Large,472,CDU,0,800,0
o75,"(66.01402281810057, -66.13428184797341)",5670,Large,283.5,CDU,0,800,0
o76,"(65.37405201963689, -60.65312823153994)",2680,Medium,134,MCR,32,0,0
o77,"(62.185464677435625, -121.02513524883052)",8380,Large,419,MCR,54,0,0
o78,"(68.90685321866324, -107.22305801736705)",710,Small,35.5,ISB,0,0,7
o79,"(63.99531963827238, -76.21867695117875)",1090,Small,54.5,MCR,24,0,0
