Spill #,Coordinates,Spill size,Spill Size Type,Resource needed,1st Ranking,Skimmer,Dispersant,Burning materials
o1,"(69.42589738150005, -117.38345517449997)",7090,Large,354.5,CDU,0,800,0
o2,"(69.65900176755282, -133.00468643867222)",2900,Large,145,CDU,0,800,0
o3,"(75.79558375563647, -80.47523646154465)",2870,Large,143.5,CDU,0,800,0
o4,"(69.22765564655587, -94.64195473794307)",3330,Large,166.5,MCR,54,0,0
o5,"(70.79347316566836, -122.60064198736225)",5430,Large,271.5,MCR,54,0,0
o6,"(71.08940153949655, -121.75580905806285)",6470,Large,323.5,ISB,0,0,257
o7,"(67.67039190028026, -134.39853014621025)",2000,Medium,100,ISB,0,0,57
o8,"(68.94250642624877, -106.2117851254049)",6440,Large,322,ISB,0,0,257
o9,"(69.50998600005587, -123.74964599851127)",5280,Large,264,MCR,54,0,0
o10,"(63.90441278513503, -83.32247025405422)",9900,Large,495,MCR,54,0,0
o11,"(73.85872545439102, -77.06292927588505)",4820,Large,241,MCR,54,0,0
o12,"(62.185464677435625, -121.02513524883052)",8380,Large,419,MCR,54,0,0
o13,"(62.767265615617305, -91.76430214931487)",5320,Large,266,ISB,0,0,257
o14,"(65.37405201963689, -60.65312823153994)",2680,Medium,134,MCR,32,0,0
o15,"(72.74823151708713, -78.00626226670953)",2780,Medium,139,MCR,32,0,0
o16,"(73.77195906965841, -83.41024103851763)",3870,Large,193.5,ISB,0,0,257
o17,"(73.863248393878, -82.21842240218626)",6820,Large,341,MCR,54,0,0
o18,"(68.04159285311455, -111.91245420200185)",1950,Medium,97.5,CDU,0,200,0
o19,"(63.42721743087256, -74.94781314446465)",4360,Large,218,CDU,0,800,0
o20,"(68.92177985598181, -81.01565157444715)",7630,Large,381.5,MCR,54,0,0
o21,"(70.29243949457306, -120.60523346924136)",1150,Small,57.5,ISB,0,0,7
o22,"(64.50421666200003, -79.40601964599995)",8500,Large,425,CDU,0,800,0
o23,"(69.17592919912612, -116.22757658575439)",2510,Medium,125.5,ISB,0,0,57
o24,"(70.920489636791, -124.56449416662973)",5830,Large,291.5,CDU,0,800,0
o25,"(73.86176323396033, -82.00161497450132)",3980,Large,199,MCR,54,0,0
o26,"(62.24416395622328, -69.75069643877805)",1670,Medium,83.5,ISB,0,0,57
o27,"(72.04548849091111, -119.40991256546548)",800,Small,40,CDU,0,100,0
o28,"(68.84458532453783, -107.97645179587276)",8870,Large,443.5,CDU,0,800,0
o29,"(74.35211516052063, -90.19837219704148)",930,Small,46.5,CDU,0,100,0
o30,"(70.09494677297306, -141.87073425638323)",1090,Small,54.5,CDU,0,100,0
o31,"(68.96225805552139, -136.55228962883257)",7100,Large,355,CDU,0,800,0
o32,"(64.05146245505661, -77.44978608987996)",250,Small,12.5,MCR,24,0,0
o33,"(62.876152621334256, -109.93912844523146)",5690,Large,284.5,CDU,0,800,0
o34,"(62.320885889767744, -65.36742522113936)",3850,Large,192.5,MCR,54,0,0
o35,"(69.53712126783223, -133.21758183905516)",5620,Large,281,ISB,0,0,257
o36,"(63.0117192156485, -73.35447129239368)",4460,Large,223,CDU,0,800,0
o37,"(71.09250978235556, -120.92531763952243)",6340,Large,317,MCR,54,0,0
o38,"(61.295031779690376, -114.58986777481222)",8230,Large,411.5,CDU,0,800,0
o39,"(60.96414683385387, -115.82371672066182)",8170,Large,408.5,MCR,54,0,0
o40,"(63.78303624100007, -76.34499499699996)",2910,Large,145.5,CDU,0,800,0
o41,"(70.60729619212601, -149.79801495551752)",4160,Large,208,MCR,54,0,0
o42,"(70.681140207655, -148.33568343024558)",7700,Large,385,MCR,54,0,0
o43,"(63.67264697989824, -91.65957636365208)",9330,Large,466.5,CDU,0,800,0
o44,"(74.13041980846197, -87.60536813220666)",250,Small,12.5,ISB,0,0,7
o45,"(73.60427636290437, -84.55935613723193)",1360,Small,68,ISB,0,0,7
o46,"(60.775278118169076, -63.41212184265701)",1160,Small,58,MCR,24,0,0
o47,"(62.049856834373855, -91.91717874147915)",6540,Large,327,ISB,0,0,257
o48,"(63.99531963827238, -76.21867695117875)",1090,Small,54.5,MCR,24,0,0
o49,"(67.18986663807861, -107.7369304833852)",8640,Large,432,ISB,0,0,257
o50,"(61.94973840719627, -112.75313636937388)",5420,Large,271,ISB,0,0,257
o51,"(69.08988419440739, -115.22715167910987)",900,Small,45,CDU,0,100,0
o52,"(62.88357719363138, -110.37292789149316)",300,Small,15,MCR,24,0,0
o53,"(61.99735832040513, -92.36804572739923)",21000,ExtLarge,1050,MCR,78,0,0
o54,"(63.850499892280624, -83.37589951127687)",3730,Large,186.5,ISB,0,0,257
o55,"(68.60055405743331, -103.02692376758618)",4420,Large,221,ISB,0,0,257
o56,"(71.31437035269701, -69.4633863811805)",850,Small,42.5,ISB,0,0,7
o57,"(73.50664632584939, -84.9442531960175)",8370,Large,418.5,ISB,0,0,257
o58,"(68.61088316065039, -100.47098567249687)",7540,Large,377,CDU,0,800,0
o59,"(62.65633530378757, -111.28199524772351)",9750,Large,487.5,CDU,0,800,0
o60,"(69.24304799574003, -137.32628644705787)",40,Small,2,CDU,0,100,0
o61,"(69.40314705680032, -94.05186925426825)",4440,Large,222,CDU,0,800,0
o62,"(70.39398583832822, -145.02156832230372)",3030,Large,151.5,MCR,54,0,0
o63,"(76.69524596908194, -89.59222304273278)",850,Small,42.5,CDU,0,100,0
o64,"(68.48104166867869, -96.72736543706715)",5970,Large,298.5,MCR,54,0,0
o65,"(61.433132300613266, -63.697139433135625)",3180,Large,159,MCR,54,0,0
o66,"(63.41049885410371, -68.10900360449682)",8120,Large,406,MCR,54,0,0
o67,"(63.72899507480532, -78.1097043191964)",3950,Large,197.5,CDU,0,800,0
o68,"(73.14326416751896, -85.52061338957746)",2400,Medium,120,MCR,32,0,0
o69,"(69.0440875563095, -114.16413103517168)",4480,Large,224,ISB,0,0,257
o70,"(69.80766220076015, -140.9624611305343)",20,Small,1,MCR,24,0,0
o71,"(70.49096884891965, -131.42970680507597)",6690,Large,334.5,CDU,0,800,0
o72,"(69.03035256138071, -94.82276525307002)",1840,Medium,92,MCR,32,0,0
o73,"(67.60082588886198, -134.7428604222584)",7800,Large,390,MCR,54,0,0
o74,"(71.38061764992644, -127.39770370175974)",7540,Large,377,ISB,0,0,257
o75,"(68.6276630930874, -97.99902736939694)",9660,Large,483,CDU,0,800,0
o76,"(58.851133884186325, -94.20693472697955)",3200,Large,160,ISB,0,0,257
o77,"(69.31371327858832, -94.53252534894514)",480,Small,24,MCR,24,0,0
o78,"(69.45553911240434, -123.85642478117892)",6160,Large,308,MCR,54,0,0
o79,"(60.18887183950005, -63.03309323849996)",5920,Large,296,CDU,0,800,0
o80,"(69.17440960666154, -81.12327214048015)",270,Small,13.5,CDU,0,100,0
o81,"(61.6692048307691, -92.63760265599092)",8610,Large,430.5,MCR,54,0,0
o82,"(77.28026321669991, -69.57542191844341)",2100,Medium,105,CDU,0,200,0
o83,"(68.74592688463166, -113.81078630074735)",9850,Large,492.5,CDU,0,800,0
o84,"(64.23984829032568, -63.44266050044166)",7420,Large,371,MCR,54,0,0
o85,"(64.05066024217525, -83.19338002718928)",670,Small,33.5,MCR,24,0,0
o86,"(73.88189194550003, -78.43285281799996)",7320,Large,366,MCR,54,0,0
o87,"(58.98118836700004, -94.19345370699995)",690,Small,34.5,MCR,24,0,0
o88,"(62.76213160269137, -69.9622534121055)",4220,Large,211,CDU,0,800,0
o89,"(67.58089452286133, -107.94493778969186)",6050,Large,302.5,MCR,54,0,0
o90,"(79.9892204360485, -86.26046090965922)",6370,Large,318.5,CDU,0,800,0
o91,"(62.628366124753036, -69.90265772988599)",7810,Large,390.5,MCR,54,0,0
o92,"(68.13950209511573, -113.42097605555624)",9740,Large,487,MCR,54,0,0
o93,"(69.49515090110985, -93.58442983407755)",3230,Large,161.5,ISB,0,0,257
o94,"(60.33390402693301, -63.1711776709703)",7110,Large,355.5,CDU,0,800,0
o95,"(69.40719270339133, -123.96592127270287)",7510,Large,375.5,CDU,0,800,0
o96,"(76.79675252883519, -89.62904959361312)",1580,Medium,79,MCR,32,0,0
o97,"(62.621525060942545, -91.40995008573063)",5080,Large,254,CDU,0,800,0
o98,"(69.72113519208533, -139.68410856539091)",9260,Large,463,CDU,0,800,0
o99,"(74.247414220806, -88.98871993609323)",7270,Large,363.5,MCR,54,0,0
o100,"(68.64421655359281, -99.32372466621469)",2730,Medium,136.5,MCR,32,0,0
