Spill #,Coordinates,Spill size,Spill Size Type,Resource needed,1st Ranking,Skimmer,Dispersant,Burning materials
o1,"(70.39901825346506, -131.88027587601508)",520,Small,26,MCR,24,0,0
o2,"(76.79675252883519, -89.62904959361312)",1580,Medium,79,MCR,32,0,0
o3,"(71.65566896158523, -119.64870608943825)",8380,Large,419,MCR,54,0,0
o4,"(64.31928988420061, -78.57678652571602)",9150,Large,457.5,ISB,0,0,257
o5,"(61.2787986028355, -114.41660450627202)",6480,Large,324,MCR,54,0,0
o6,"(72.99092099923107, -74.71753868243371)",5470,Large,273.5,CDU,0,800,0
o7,"(69.95142488481129, -132.67316873673477)",2440,Medium,122,MCR,32,0,0
o8,"(73.77195906965841, -83.41024103851763)",3870,Large,193.5,ISB,0,0,257
o9,"(69.34861658538865, -81.73474662214561)",4650,Large,232.5,MCR,54,0,0
o10,"(75.6673922554978, -79.75706546803721)",2850,Large,142.5,ISB,0,0,257
o11,"(67.56401598135764, -62.579477186699386)",7770,Large,388.5,ISB,0,0,257
o12,"(62.511501191529646, -91.4601644059024)",6430,Large,321.5,ISB,0,0,257
o13,"(68.13950209511573, -113.42097605555624)",9740,Large,487,MCR,54,0,0
o14,"(62.185464677435625, -121.02513524883052)",8380,Large,419,MCR,54,0,0
o15,"(70.82301519053982, -130.33066350036327)",3920,Large,196,CDU,0,800,0
o16,"(70.60895849948146, -147.15037633401403)",7900,Large,395,MCR,54,0,0
o17,"(70.52990316014335, -121.80625539910771)",960,Small,48,CDU,0,100,0
o18,"(68.64421655359281, -99.32372466621469)",2730,Medium,136.5,MCR,32,0,0
o19,"(64.05066024217525, -83.19338002718928)",670,Small,33.5,MCR,24,0,0
o20,"(63.90441278513503, -83.32247025405422)",9900,Large,495,MCR,54,0,0
o21,"(69.31797044116875, -137.48422649337462)",1880,Medium,94,ISB,0,0,57
o22,"(66.82674006457319, -80.42932645870972)",3140,Large,157,CDU,0,800,0
o23,"(72.71694003783507, -118.48119587376793)",7940,Large,397,MCR,54,0,0
o24,"(69.22765564655587, -94.64195473794307)",3330,Large,166.5,MCR,54,0,0
o25,"(62.767265615617305, -91.76430214931487)",5320,Large,266,ISB,0,0,257
o26,"(68.41233483864389, -113.73033936585581)",9550,Large,477.5,CDU,0,800,0
o27,"(69.40719270339133, -123.96592127270287)",7510,Large,375.5,CDU,0,800,0
o28,"(61.09720726830651, -115.372447561338)",730,Small,36.5,ISB,0,0,7
o29,"(77.0037458085796, -74.23688601460837)",4050,Large,202.5,CDU,0,800,0
o30,"(69.50998600005587, -123.74964599851127)",5280,Large,264,MCR,54,0,0
o31,"(69.24304799574003, -137.32628644705787)",40,Small,2,CDU,0,100,0
o32,"(63.67264697989824, -91.65957636365208)",9330,Large,466.5,CDU,0,800,0
o33,"(73.1920044233558, -85.01565149145881)",2640,Medium,132,MCR,32,0,0
o34,"(62.83142365858523, -109.67662006555832)",2050,Medium,102.5,MCR,32,0,0
o35,"(73.88189194550003, -78.43285281799996)",7320,Large,366,MCR,54,0,0
o36,"(72.04548849091111, -119.40991256546548)",800,Small,40,CDU,0,100,0
o37,"(79.68636040348753, -86.0582550241544)",2580,Medium,129,CDU,0,200,0
