Spill #,Coordinates,Spill size,Spill Size Type,Resource needed,1st Ranking,Skimmer,Dispersant,Burning materials
o1,"(72.74823151708713, -78.00626226670953)",2780,Medium,139,MCR,32,0,0
o2,"(69.65900176755282, -133.00468643867222)",2900,Large,145,CDU,0,800,0
o3,"(64.05066024217525, -83.19338002718928)",670,Small,33.5,MCR,24,0,0
o4,"(69.29654090896803, -81.60262809346669)",8910,Large,445.5,CDU,0,800,0
o5,"(72.58580863436453, -118.6375989984033)",9440,Large,472,CDU,0,800,0
o6,"(64.23984829032568, -63.44266050044166)",7420,Large,371,MCR,54,0,0
o7,"(62.38534533059043, -91.54392333940193)",7530,Large,376.5,ISB,0,0,257
o8,"(63.72899507480532, -78.1097043191964)",3950,Large,197.5,CDU,0,800,0
o9,"(68.74592688463166, -113.81078630074735)",9850,Large,492.5,CDU,0,800,0
o10,"(74.35211516052063, -90.19837219704148)",930,Small,46.5,CDU,0,100,0
o11,"(75.20322914875858, -78.58728931501444)",1240,Small,62,MCR,24,0,0
o12,"(76.18642266759578, -85.19263923120073)",7110,Large,355.5,ISB,0,0,257
o13,"(69.72113519208533, -139.68410856539091)",9260,Large,463,CDU,0,800,0
o14,"(67.7826361707032, -108.49048393954631)",400,Small,20,ISB,0,0,7
o15,"(63.31720065616187, -90.65327442130385)",20000,ExtLarge,1000,CDU,0,1400,0
o16,"(69.34680717325818, -117.11179869882808)",3820,Large,191,MCR,54,0,0
o17,"(62.66616809334966, -91.38626790248023)",3820,Large,191,ISB,0,0,257
o18,"(68.04341304792781, -114.42352452678259)",550,Small,27.5,ISB,0,0,7
o19,"(61.99735832040513, -92.36804572739923)",21000,ExtLarge,1050,MCR,78,0,0
o20,"(61.48567202760547, -114.25987964031395)",20,Small,1,MCR,24,0,0
o21,"(75.56344329900006, -79.39089303999998)",5460,Large,273,ISB,0,0,257
o22,"(72.04548849091111, -119.40991256546548)",800,Small,40,CDU,0,100,0
o23,"(75.79558375563647, -80.47523646154465)",2870,Large,143.5,CDU,0,800,0
o24,"(73.88189194550003, -78.43285281799996)",7320,Large,366,MCR,54,0,0
o25,"(70.50120289325197, -147.62753194607055)",8860,Large,443,CDU,0,800,0
o26,"(64.25104027351942, -95.86234765973384)",1300,Small,65,ISB,0,0,7
o27,"(69.31371327858832, -94.53252534894514)",480,Small,24,MCR,24,0,0
o28,"(62.42660173172218, -111.36708095811998)",110,Small,5.5,ISB,0,0,7
o29,"(70.01613233374715, -131.52472400599697)",5400,Large,270,MCR,54,0,0
o30,"(70.20526723210095, -143.45507470347903)",5700,Large,285,MCR,54,0,0
o31,"(69.03035256138071, -94.82276525307002)",1840,Medium,92,MCR,32,0,0
o32,"(68.04480534914845, -112.64429531845111)",5550,Large,277.5,MCR,54,0,0
o33,"(63.96094776208527, -83.26973608946932)",8170,Large,408.5,ISB,0,0,257
o34,"(69.80766220076015, -140.9624611305343)",20,Small,1,MCR,24,0,0
o35,"(73.85872545439102, -77.06292927588505)",4820,Large,241,MCR,54,0,0
o36,"(66.97133695259294, -107.84159248669971)",590,Small,29.5,MCR,24,0,0
o37,"(69.51718037557096, -138.17161442754)",1750,Medium,87.5,CDU,0,200,0
o38,"(61.94973840719627, -112.75313636937388)",5420,Large,271,ISB,0,0,257
o39,"(73.9533098894819, -84.66397820780995)",2340,Medium,117,CDU,0,200,0
o40,"(59.673583631830375, -81.61227363363473)",7290,Large,364.5,MCR,54,0,0
o41,"(72.66184316713998, -75.24928853834892)",9590,Large,479.5,CDU,0,800,0
o42,"(68.61088316065039, -100.47098567249687)",7540,Large,377,CDU,0,800,0
o43,"(62.76846511499132, -109.3384734295116)",1530,Medium,76.5,CDU,0,200,0
o44,"(68.67783396782777, -64.47432715663773)",7730,Large,386.5,MCR,54,0,0
o45,"(61.6692048307691, -92.63760265599092)",8610,Large,430.5,MCR,54,0,0
o46,"(63.42721743087256, -74.94781314446465)",4360,Large,218,CDU,0,800,0
o47,"(67.96005174954085, -110.29820330849492)",6060,Large,303,CDU,0,800,0
o48,"(72.81168199886528, -77.5384227852805)",8230,Large,411.5,MCR,54,0,0
o49,"(69.40719270339133, -123.96592127270287)",7510,Large,375.5,CDU,0,800,0
o50,"(66.34168907989162, -129.46790900649174)",9580,Large,479,ISB,0,0,257
o51,"(71.09250978235556, -120.92531763952243)",6340,Large,317,MCR,54,0,0
o52,"(61.09720726830651, -115.372447561338)",730,Small,36.5,ISB,0,0,7
o53,"(69.01970338203198, -105.17880159715504)",5540,Large,277,MCR,54,0,0
o54,"(65.38888826422587, -65.95218121659215)",5190,Large,259.5,ISB,0,0,257
o55,"(62.511501191529646, -91.4601644059024)",6430,Large,321.5,ISB,0,0,257
o56,"(63.67264697989824, -91.65957636365208)",9330,Large,466.5,CDU,0,800,0
o57,"(69.24304799574003, -137.32628644705787)",40,Small,2,CDU,0,100,0
o58,"(64.50421666200003, -79.40601964599995)",8500,Large,425,CDU,0,800,0
o59,"(62.628366124753036, -69.90265772988599)",7810,Large,390.5,MCR,54,0,0
o60,"(68.64421655359281, -99.32372466621469)",2730,Medium,136.5,MCR,32,0,0
o61,"(69.34861658538865, -81.73474662214561)",4650,Large,232.5,MCR,54,0,0
o62,"(58.851133884186325, -94.20693472697955)",3200,Large,160,ISB,0,0,257
o63,"(71.0263633424708, -127.7679693701022)",5260,Large,263,CDU,0,800,0
o64,"(70.39398583832822, -145.02156832230372)",3030,Large,151.5,MCR,54,0,0
o65,"(62.00729885632203, -62.82936093819682)",7330,Large,366.5,ISB,0,0,257
o66,"(69.17440960666154, -81.12327214048015)",270,Small,13.5,CDU,0,100,0
o67,"(65.37405201963689, -60.65312823153994)",2680,Medium,134,MCR,32,0,0
o68,"(69.86841673337953, -118.9489084963011)",5500,Large,275,CDU,0,800,0
o69,"(62.876152621334256, -109.93912844523146)",5690,Large,284.5,CDU,0,800,0
o70,"(63.316886379044426, -79.96743737291322)",8500,Large,425,MCR,54,0,0
o71,"(69.57814395413881, -123.63714273588194)",5520,Large,276,ISB,0,0,257
o72,"(69.53712126783223, -133.21758183905516)",5620,Large,281,ISB,0,0,257
o73,"(68.70553599203063, -134.23381941293684)",6430,Large,321.5,ISB,0,0,257
