Spill #,Coordinates,Spill size,Spill Size Type,Resource needed,1st Ranking,Skimmer,Dispersant,Burning materials
o1,"(64.50421666200003, -79.40601964599995)",8500,Large,425,CDU,0,800,0
o2,"(70.79347316566836, -122.60064198736225)",5430,Large,271.5,MCR,54,0,0
o3,"(69.51718037557096, -138.17161442754)",1750,Medium,87.5,CDU,0,200,0
o4,"(73.86053718700006, -82.34430385449997)",670,Small,33.5,ISB,0,0,7
o5,"(68.74592688463166, -113.81078630074735)",9850,Large,492.5,CDU,0,800,0
o6,"(61.48567202760547, -114.25987964031395)",20,Small,1,MCR,24,0,0
o7,"(69.49515090110985, -93.58442983407755)",3230,Large,161.5,ISB,0,0,257
o8,"(69.16983336558708, -137.1909711618563)",6570,Large,328.5,ISB,0,0,257
o9,"(61.28059062663438, -93.24050320300437)",3830,Large,191.5,ISB,0,0,257
o10,"(61.6692048307691, -92.63760265599092)",8610,Large,430.5,MCR,54,0,0
o11,"(79.10568207193272, -85.69568076457762)",5260,Large,263,MCR,54,0,0
o12,"(68.71480928423397, -108.55260897253204)",4000,Large,200,MCR,54,0,0
o13,"(70.60729619212601, -149.79801495551752)",4160,Large,208,MCR,54,0,0
o14,"(79.48266733782832, -85.11285455775378)",3090,Large,154.5,MCR,54,0,0
o15,"(73.9533098894819, -84.66397820780995)",2340,Medium,117,CDU,0,200,0
o16,"(62.41069781400306, -71.18104756525088)",3740,Large,187,ISB,0,0,257
o17,"(63.41049885410371, -68.10900360449682)",8120,Large,406,MCR,54,0,0
o18,"(61.09720726830651, -115.372447561338)",730,Small,36.5,ISB,0,0,7
o19,"(77.0037458085796, -74.23688601460837)",4050,Large,202.5,CDU,0,800,0
o20,"(69.45553911240434, -123.85642478117892)",6160,Large,308,MCR,54,0,0
o21,"(77.6400001381179, -88.78879612162706)",7250,Large,362.5,ISB,0,0,257
o22,"(58.98118836700004, -94.19345370699995)",690,Small,34.5,MCR,24,0,0
o23,"(73.14326416751896, -85.52061338957746)",2400,Medium,120,MCR,32,0,0
o24,"(70.52990316014335, -121.80625539910771)",960,Small,48,CDU,0,100,0
o25,"(72.58580863436453, -118.6375989984033)",9440,Large,472,CDU,0,800,0
o26,"(75.5635711076492, -79.39084494539506)",8020,Large,401,MCR,54,0,0
o27,"(69.95142488481129, -132.67316873673477)",2440,Medium,122,MCR,32,0,0
o28,"(67.56401598135764, -62.579477186699386)",7770,Large,388.5,ISB,0,0,257
o29,"(70.681140207655, -148.33568343024558)",7700,Large,385,MCR,54,0,0
o30,"(69.80766220076015, -140.9624611305343)",20,Small,1,MCR,24,0,0
o31,"(73.60427636290437, -84.55935613723193)",1360,Small,68,ISB,0,0,7
o32,"(74.13041980846197, -87.60536813220666)",250,Small,12.5,ISB,0,0,7
o33,"(76.79675252883519, -89.62904959361312)",1580,Medium,79,MCR,32,0,0
o34,"(63.850499892280624, -83.37589951127687)",3730,Large,186.5,ISB,0,0,257
o35,"(62.876152621334256, -109.93912844523146)",5690,Large,284.5,CDU,0,800,0
o36,"(69.57814395413881, -123.63714273588194)",5520,Large,276,ISB,0,0,257
o37,"(69.08845131190975, -114.56139924764797)",250,Small,12.5,CDU,0,100,0
o38,"(69.53712126783223, -133.21758183905516)",5620,Large,281,ISB,0,0,257
o39,"(69.62626467075341, -138.8750452576395)",8980,Large,449,MCR,54,0,0
o40,"(73.88189194550003, -78.43285281799996)",7320,Large,366,MCR,54,0,0
o41,"(68.62536468650006, -95.83653120849996)",6160,Large,308,CDU,0,800,0
o42,"(74.35211516052063, -90.19837219704148)",930,Small,46.5,CDU,0,100,0
o43,"(70.82301519053982, -130.33066350036327)",3920,Large,196,CDU,0,800,0
o44,"(64.17368927156971, -95.39797114837724)",9690,Large,484.5,ISB,0,0,257
o45,"(69.22765564655587, -94.64195473794307)",3330,Large,166.5,MCR,54,0,0
o46,"(70.71465633784543, -122.91004344688142)",7820,Large,391,ISB,0,0,257
o47,"(71.85665798581917, -119.85768236148976)",6750,Large,337.5,ISB,0,0,257
o48,"(62.767265615617305, -91.76430214931487)",5320,Large,266,ISB,0,0,257
o49,"(69.86841673337953, -118.9489084963011)",5500,Large,275,CDU,0,800,0
o50,"(68.70553599203063, -134.23381941293684)",6430,Large,321.5,ISB,0,0,257
o51,"(69.34861658538865, -81.73474662214561)",4650,Large,232.5,MCR,54,0,0
o52,"(62.42660173172218, -111.36708095811998)",110,Small,5.5,ISB,0,0,7
o53,"(61.690864687328215, -64.0055591963873)",7980,Large,399,ISB,0,0,257
o54,"(69.50998600005587, -123.74964599851127)",5280,Large,264,MCR,54,0,0
o55,"(70.50120289325197, -147.62753194607055)",8860,Large,443,CDU,0,800,0
o56,"(61.295031779690376, -114.58986777481222)",8230,Large,411.5,CDU,0,800,0
o57,"(62.88357719363138, -110.37292789149316)",300,Small,15,MCR,24,0,0
o58,"(69.31371327858832, -94.53252534894514)",480,Small,24,MCR,24,0,0
o59,"(77.3499153736386, -69.69027455288698)",9950,Large,497.5,CDU,0,800,0
o60,"(65.38888826422587, -65.95218121659215)",5190,Large,259.5,ISB,0,0,257
o61,"(74.247414220806, -88.98871993609323)",7270,Large,363.5,MCR,54,0,0
o62,"(70.63114828207598, -158.272597974529)",5430,Large,271.5,ISB,0,0,257
o63,"(73.77195906965841, -83.41024103851763)",3870,Large,193.5,ISB,0,0,257
o64,"(68.50881850976059, -113.56029332614887)",8620,Large,431,MCR,54,0,0
o65,"(70.920489636791, -124.56449416662973)",5830,Large,291.5,CDU,0,800,0
o66,"(76.5737164359083, -89.68934613747211)",2160,Medium,108,MCR,32,0,0
o67,"(64.25104027351942, -95.86234765973384)",1300,Small,65,ISB,0,0,7
o68,"(61.99735832040513, -92.36804572739923)",21000,ExtLarge,1050,MCR,78,0,0
o69,"(68.27685061325028, -110.11202537942772)",930,Small,46.5,MCR,24,0,0
o70,"(68.90685321866324, -107.22305801736705)",710,Small,35.5,ISB,0,0,7
o71,"(62.90883739440742, -90.87543554540392)",9880,Large,494,MCR,54,0,0
o72,"(63.90441278513503, -83.32247025405422)",9900,Large,495,MCR,54,0,0
o73,"(62.02908923342707, -114.14901178022329)",3130,Large,156.5,ISB,0,0,257
o74,"(74.44817555033204, -92.63255379086462)",9070,Large,453.5,ISB,0,0,257
