Spill #,Coordinates,Spill size,Spill Size Type,Resource needed,1st Ranking,Skimmer,Dispersant,Burning materials
o1,"(61.433132300613266, -63.697139433135625)",3180,Large,159,MCR,54,0,0
o2,"(69.17592919912612, -116.22757658575439)",2510,Medium,125.5,ISB,0,0,57
o3,"(69.24304799574003, -137.32628644705787)",40,Small,2,CDU,0,100,0
o4,"(60.775278118169076, -63.41212184265701)",1160,Small,58,MCR,24,0,0
o5,"(63.234507475578994, -82.34986282998018)",6280,Large,314,CDU,0,800,0
o6,"(68.04480534914845, -112.64429531845111)",5550,Large,277.5,MCR,54,0,0
o7,"(68.90685321866324, -107.22305801736705)",710,Small,35.5,ISB,0,0,7
o8,"(68.24436354352724, -135.2450183567887)",8560,Large,428,MCR,54,0,0
o9,"(70.14045441002439, -123.53033843705632)",9810,Large,490.5,CDU,0,800,0
o10,"(62.621525060942545, -91.40995008573063)",5080,Large,254,CDU,0,800,0
o11,"(61.690864687328215, -64.0055591963873)",7980,Large,399,ISB,0,0,257
o12,"(64.50421666200003, -79.40601964599995)",8500,Large,425,CDU,0,800,0
o13,"(73.9533098894819, -84.66397820780995)",2340,Medium,117,CDU,0,200,0
o14,"(73.863248393878, -82.21842240218626)",6820,Large,341,MCR,54,0,0
o15,"(59.92378260826657, -94.01648338111892)",720,Small,36,ISB,0,0,7
o16,"(62.511501191529646, -91.4601644059024)",6430,Large,321.5,ISB,0,0,257
o17,"(69.49515090110985, -93.58442983407755)",3230,Large,161.5,ISB,0,0,257
o18,"(60.96414683385387, -115.82371672066182)",8170,Large,408.5,MCR,54,0,0
o19,"(68.67783396782777, -64.47432715663773)",7730,Large,386.5,MCR,54,0,0
o20,"(69.03035256138071, -94.82276525307002)",1840,Medium,92,MCR,32,0,0
o21,"(68.48104166867869, -96.72736543706715)",5970,Large,298.5,MCR,54,0,0
o22,"(62.767265615617305, -91.76430214931487)",5320,Large,266,ISB,0,0,257
o23,"(62.66616809334966, -91.38626790248023)",3820,Large,191,ISB,0,0,257
o24,"(60.18887183950005, -63.03309323849996)",5920,Large,296,CDU,0,800,0
o25,"(68.50881850976059, -113.56029332614887)",8620,Large,431,MCR,54,0,0
o26,"(62.76846511499132, -109.3384734295116)",1530,Medium,76.5,CDU,0,200,0
o27,"(62.049856834373855, -91.91717874147915)",6540,Large,327,ISB,0,0,257
o28,"(70.79347316566836, -122.60064198736225)",5430,Large,271.5,MCR,54,0,0
o29,"(61.492133060791765, -113.89151294299599)",180,Small,9,CDU,0,100,0
o30,"(63.850499892280624, -83.37589951127687)",3730,Large,186.5,ISB,0,0,257
o31,"(70.52990316014335, -121.80625539910771)",960,Small,48,CDU,0,100,0
o32,"(75.56344329900006, -79.39089303999998)",5460,Large,273,ISB,0,0,257
o33,"(69.72113519208533, -139.68410856539091)",9260,Large,463,CDU,0,800,0
o34,"(76.18642266759578, -85.19263923120073)",7110,Large,355.5,ISB,0,0,257
o35,"(68.13950209511573, -113.42097605555624)",9740,Large,487,MCR,54,0,0
o36,"(61.99735832040513, -92.36804572739923)",21000,ExtLarge,1050,MCR,78,0,0
o37,"(61.28059062663438, -93.24050320300437)",3830,Large,191.5,ISB,0,0,257
o38,"(69.22765564655587, -94.64195473794307)",3330,Large,166.5,MCR,54,0,0
o39,"(63.42721743087256, -74.94781314446465)",4360,Large,218,CDU,0,800,0
o40,"(71.38061764992644, -127.39770370175974)",7540,Large,377,ISB,0,0,257
o41,"(76.69524596908194, -89.59222304273278)",850,Small,42.5,CDU,0,100,0
o42,"(66.82674006457319, -80.42932645870972)",3140,Large,157,CDU,0,800,0
o43,"(68.64421655359281, -99.32372466621469)",2730,Medium,136.5,MCR,32,0,0
o44,"(71.31437035269701, -69.4633863811805)",850,Small,42.5,ISB,0,0,7
o45,"(58.851133884186325, -94.20693472697955)",3200,Large,160,ISB,0,0,257
o46,"(73.50664632584939, -84.9442531960175)",8370,Large,418.5,ISB,0,0,257
o47,"(68.61088316065039, -100.47098567249687)",7540,Large,377,CDU,0,800,0
o48,"(71.0263633424708, -127.7679693701022)",5260,Large,263,CDU,0,800,0
o49,"(67.38710856267873, -62.07480657202071)",2610,Medium,130.5,ISB,0,0,57
o50,"(67.7826361707032, -108.49048393954631)",400,Small,20,ISB,0,0,7
o51,"(69.17440960666154, -81.12327214048015)",270,Small,13.5,CDU,0,100,0
o52,"(69.59976646457682, -133.1012802600841)",2560,Medium,128,CDU,0,200,0
o53,"(74.247414220806, -88.98871993609323)",7270,Large,363.5,MCR,54,0,0
o54,"(69.57814395413881, -123.63714273588194)",5520,Large,276,ISB,0,0,257
o55,"(73.85872545439102, -77.06292927588505)",4820,Large,241,MCR,54,0,0
o56,"(68.62536468650006, -95.83653120849996)",6160,Large,308,CDU,0,800,0
o57,"(67.67039190028026, -134.39853014621025)",2000,Medium,100,ISB,0,0,57
o58,"(66.34168907989162, -129.46790900649174)",9580,Large,479,ISB,0,0,257
o59,"(71.09250978235556, -120.92531763952243)",6340,Large,317,MCR,54,0,0
o60,"(63.31720065616187, -90.65327442130385)",20000,ExtLarge,1000,CDU,0,1400,0
o61,"(68.41233483864389, -113.73033936585581)",9550,Large,477.5,CDU,0,800,0
o62,"(69.65900176755282, -133.00468643867222)",2900,Large,145,CDU,0,800,0
o63,"(73.14326416751896, -85.52061338957746)",2400,Medium,120,MCR,32,0,0
o64,"(72.58580863436453, -118.6375989984033)",9440,Large,472,CDU,0,800,0
o65,"(64.17368927156971, -95.39797114837724)",9690,Large,484.5,ISB,0,0,257
o66,"(68.04341304792781, -114.42352452678259)",550,Small,27.5,ISB,0,0,7
o67,"(69.40719270339133, -123.96592127270287)",7510,Large,375.5,CDU,0,800,0
o68,"(70.681140207655, -148.33568343024558)",7700,Large,385,MCR,54,0,0
o69,"(68.94250642624877, -106.2117851254049)",6440,Large,322,ISB,0,0,257
o70,"(63.01325610670355, -87.62855894112394)",6320,Large,316,CDU,0,800,0
o71,"(70.09494677297306, -141.87073425638323)",1090,Small,54.5,CDU,0,100,0
o72,"(63.72899507480532, -78.1097043191964)",3950,Large,197.5,CDU,0,800,0
o73,"(76.79675252883519, -89.62904959361312)",1580,Medium,79,MCR,32,0,0
o74,"(69.34861658538865, -81.73474662214561)",4650,Large,232.5,MCR,54,0,0
o75,"(69.29654090896803, -81.60262809346669)",8910,Large,445.5,CDU,0,800,0
o76,"(70.11707756435888, -131.62072900213448)",620,Small,31,ISB,0,0,7
o77,"(69.86841673337953, -118.9489084963011)",5500,Large,275,CDU,0,800,0
o78,"(77.3499153736386, -69.69027455288698)",9950,Large,497.5,CDU,0,800,0
o79,"(62.185464677435625, -121.02513524883052)",8380,Large,419,MCR,54,0,0
o80,"(59.673583631830375, -81.61227363363473)",7290,Large,364.5,MCR,54,0,0
o81,"(69.16983336558708, -137.1909711618563)",6570,Large,328.5,ISB,0,0,257
o82,"(69.80106747616216, -132.82325328547842)",3510,Large,175.5,MCR,54,0,0
o83,"(64.23984829032568, -63.44266050044166)",7420,Large,371,MCR,54,0,0
