Spill #,Coordinates,Spill size,Spill Size Type,Resource needed,1st Ranking,Skimmer,Dispersant,Burning materials
o1,"(69.59976646457682, -133.1012802600841)",2560,Medium,128,CDU,0,200,0
o2,"(79.9892204360485, -86.26046090965922)",6370,Large,318.5,CDU,0,800,0
o3,"(72.04548849091111, -119.40991256546548)",800,Small,40,CDU,0,100,0
o4,"(67.18986663807861, -107.7369304833852)",8640,Large,432,ISB,0,0,257
o5,"(66.82674006457319, -80.42932645870972)",3140,Large,157,CDU,0,800,0
o6,"(70.01613233374715, -131.52472400599697)",5400,Large,270,MCR,54,0,0
o7,"(72.74823151708713, -78.00626226670953)",2780,Medium,139,MCR,32,0,0
o8,"(70.11707756435888, -131.62072900213448)",620,Small,31,ISB,0,0,7
o9,"(70.57213696968427, -148.17541107965772)",8860,Large,443,CDU,0,800,0
o10,"(63.850499892280624, -83.37589951127687)",3730,Large,186.5,ISB,0,0,257
o11,"(63.01325610670355, -87.62855894112394)",6320,Large,316,CDU,0,800,0
o12,"(70.50120289325197, -147.62753194607055)",8860,Large,443,CDU,0,800,0
o13,"(70.39901825346506, -131.88027587601508)",520,Small,26,MCR,24,0,0
o14,"(69.72113519208533, -139.68410856539091)",9260,Large,463,CDU,0,800,0
o15,"(69.34861658538865, -81.73474662214561)",4650,Large,232.5,MCR,54,0,0
o16,"(75.5635711076492, -79.39084494539506)",8020,Large,401,MCR,54,0,0
o17,"(62.767265615617305, -91.76430214931487)",5320,Large,266,ISB,0,0,257
o18,"(69.17592919912612, -116.22757658575439)",2510,Medium,125.5,ISB,0,0,57
o19,"(67.74870709975156, -63.582037936715594)",1280,Small,64,ISB,0,0,7
o20,"(70.20526723210095, -143.45507470347903)",5700,Large,285,MCR,54,0,0
o21,"(68.84146485450003, -135.93181928799999)",9500,Large,475,CDU,0,800,0
o22,"(69.45553911240434, -123.85642478117892)",6160,Large,308,MCR,54,0,0
o23,"(63.019468234716875, -67.15623917813694)",4510,Large,225.5,MCR,54,0,0
o24,"(70.49096884891965, -131.42970680507597)",6690,Large,334.5,CDU,0,800,0
o25,"(69.50998600005587, -123.74964599851127)",5280,Large,264,MCR,54,0,0
o26,"(68.94250642624877, -106.2117851254049)",6440,Large,322,ISB,0,0,257
o27,"(69.29654090896803, -81.60262809346669)",8910,Large,445.5,CDU,0,800,0
o28,"(68.61088316065039, -100.47098567249687)",7540,Large,377,CDU,0,800,0
o29,"(63.234507475578994, -82.34986282998018)",6280,Large,314,CDU,0,800,0
