Spill #,Coordinates,Spill size,Spill Size Type,Resource needed,1st Ranking,Skimmer,Dispersant,Burning materials
o1,"(73.863248393878, -82.21842240218626)",6820,Large,341,MCR,54,0,0
o2,"(62.42660173172218, -111.36708095811998)",110,Small,5.5,ISB,0,0,7
o3,"(69.31797044116875, -137.48422649337462)",1880,Medium,94,ISB,0,0,57
o4,"(60.96414683385387, -115.82371672066182)",8170,Large,408.5,MCR,54,0,0
o5,"(72.71694003783507, -118.48119587376793)",7940,Large,397,MCR,54,0,0
o6,"(63.99531963827238, -76.21867695117875)",1090,Small,54.5,MCR,24,0,0
o7,"(65.38888826422587, -65.95218121659215)",5190,Large,259.5,ISB,0,0,257
o8,"(69.22765564655587, -94.64195473794307)",3330,Large,166.5,MCR,54,0,0
o9,"(69.65900176755282, -133.00468643867222)",2900,Large,145,CDU,0,800,0
o10,"(62.374623726294836, -111.61635871906296)",9020,Large,451,CDU,0,800,0
o11,"(73.86176323396033, -82.00161497450132)",3980,Large,199,MCR,54,0,0
o12,"(63.316886379044426, -79.96743737291322)",8500,Large,425,MCR,54,0,0
o13,"(69.80766220076015, -140.9624611305343)",20,Small,1,MCR,24,0,0
o14,"(68.27685061325028, -110.11202537942772)",930,Small,46.5,MCR,24,0,0
o15,"(61.99735832040513, -92.36804572739923)",21000,ExtLarge,1050,MCR,78,0,0
o16,"(68.64421655359281, -99.32372466621469)",2730,Medium,136.5,MCR,32,0,0
o17,"(62.049856834373855, -91.91717874147915)",6540,Large,327,ISB,0,0,257
o18,"(74.13041980846197, -87.60536813220666)",250,Small,12.5,ISB,0,0,7
o19,"(73.8681236543794, -80.30825079209184)",9250,Large,462.5,MCR,54,0,0
o20,"(73.9533098894819, -84.66397820780995)",2340,Medium,117,CDU,0,200,0
o21,"(60.33390402693301, -63.1711776709703)",7110,Large,355.5,CDU,0,800,0
o22,"(61.295031779690376, -114.58986777481222)",8230,Large,411.5,CDU,0,800,0
o23,"(64.23984829032568, -63.44266050044166)",7420,Large,371,MCR,54,0,0
o24,"(70.57213696968427, -148.17541107965772)",8860,Large,443,CDU,0,800,0
o25,"(75.56344329900006, -79.39089303999998)",5460,Large,273,ISB,0,0,257
o26,"(60.775278118169076, -63.41212184265701)",1160,Small,58,MCR,24,0,0
o27,"(69.29654090896803, -81.60262809346669)",8910,Large,445.5,CDU,0,800,0
o28,"(68.04341304792781, -114.42352452678259)",550,Small,27.5,ISB,0,0,7
o29,"(69.95142488481129, -132.67316873673477)",2440,Medium,122,MCR,32,0,0
o30,"(68.04480534914845, -112.64429531845111)",5550,Large,277.5,MCR,54,0,0
o31,"(69.59976646457682, -133.1012802600841)",2560,Medium,128,CDU,0,200,0
o32,"(62.621525060942545, -91.40995008573063)",5080,Large,254,CDU,0,800,0
o33,"(69.31371327858832, -94.53252534894514)",480,Small,24,MCR,24,0,0
o34,"(63.850499892280624, -83.37589951127687)",3730,Large,186.5,ISB,0,0,257
o35,"(63.90441278513503, -83.32247025405422)",9900,Large,495,MCR,54,0,0
o36,"(71.09250978235556, -120.92531763952243)",6340,Large,317,MCR,54,0,0
o37,"(62.76846511499132, -109.3384734295116)",1530,Medium,76.5,CDU,0,200,0
o38,"(68.48104166867869, -96.72736543706715)",5970,Large,298.5,MCR,54,0,0
o39,"(70.39901825346506, -131.88027587601508)",520,Small,26,MCR,24,0,0
o40,"(68.24436354352724, -135.2450183567887)",8560,Large,428,MCR,54,0,0
o41,"(72.66184316713998, -75.24928853834892)",9590,Large,479.5,CDU,0,800,0
o42,"(61.28059062663438, -93.24050320300437)",3830,Large,191.5,ISB,0,0,257
o43,"(76.69524596908194, -89.59222304273278)",850,Small,42.5,CDU,0,100,0
o44,"(69.08988419440739, -115.22715167910987)",900,Small,45,CDU,0,100,0
o45,"(62.83142365858523, -109.67662006555832)",2050,Medium,102.5,MCR,32,0,0
o46,"(69.49515090110985, -93.58442983407755)",3230,Large,161.5,ISB,0,0,257
o47,"(70.28645940577307, -67.00838156209814)",710,Small,35.5,ISB,0,0,7
o48,"(68.13950209511573, -113.42097605555624)",9740,Large,487,MCR,54,0,0
o49,"(62.02908923342707, -114.14901178022329)",3130,Large,156.5,ISB,0,0,257
o50,"(62.67141807374207, -91.42074526108482)",5910,Large,295.5,ISB,0,0,257
o51,"(77.6400001381179, -88.78879612162706)",7250,Large,362.5,ISB,0,0,257
o52,"(62.185464677435625, -121.02513524883052)",8380,Large,419,MCR,54,0,0
