,Unnamed: 0,Spill #,Coordinates,Spill size,Spill Size Type,Resource needed,1st Ranking,Skimmer,Dispersant,Burning materials
157,,o158,"(69.42589738150005, -117.38345517449997)",7090,Large,354.5,CDU,0,800,0
185,,o186,"(69.65900176755282, -133.00468643867222)",2900,Large,145.0,CDU,0,800,0
103,,o104,"(75.79558375563647, -80.47523646154465)",2870,Large,143.5,CDU,0,800,0
134,,o135,"(69.22765564655587, -94.64195473794307)",3330,Large,166.5,MCR,54,0,0
41,,o42,"(70.79347316566836, -122.60064198736225)",5430,Large,271.5,MCR,54,0,0
38,,o39,"(71.08940153949655, -121.75580905806285)",6470,Large,323.5,ISB,0,0,257
21,,o22,"(67.67039190028026, -134.39853014621025)",2000,Medium,100.0,ISB,0,0,57
142,,o143,"(68.94250642624877, -106.2117851254049)",6440,Large,322.0,ISB,0,0,257
175,,o176,"(69.50998600005587, -123.74964599851127)",5280,Large,264.0,MCR,54,0,0
69,,o70,"(63.90441278513503, -83.32247025405422)",9900,Large,495.0,MCR,54,0,0
97,,o98,"(73.85872545439102, -77.06292927588505)",4820,Large,241.0,MCR,54,0,0
192,,o193,"(62.185464677435625, -121.02513524883052)",8380,Large,419.0,MCR,54,0,0
58,,o59,"(62.767265615617305, -91.76430214931487)",5320,Large,266.0,ISB,0,0,257
187,,o188,"(65.37405201963689, -60.65312823153994)",2680,Medium,134.0,MCR,32,0,0
98,,o99,"(72.74823151708713, -78.00626226670953)",2780,Medium,139.0,MCR,32,0,0
101,,o102,"(73.77195906965841, -83.41024103851763)",3870,Large,193.5,ISB,0,0,257
16,,o17,"(73.863248393878, -82.21842240218626)",6820,Large,341.0,MCR,54,0,0
155,,o156,"(68.04159285311455, -111.91245420200185)",1950,Medium,97.5,CDU,0,200,0
78,,o79,"(63.42721743087256, -74.94781314446465)",4360,Large,218.0,CDU,0,800,0
127,,o128,"(68.92177985598181, -81.01565157444715)",7630,Large,381.5,MCR,54,0,0
167,,o168,"(70.29243949457306, -120.60523346924136)",1150,Small,57.5,ISB,0,0,7
73,,o74,"(64.50421666200003, -79.40601964599995)",8500,Large,425.0,CDU,0,800,0
158,,o159,"(69.17592919912612, -116.22757658575439)",2510,Medium,125.5,ISB,0,0,57
36,,o37,"(70.920489636791, -124.56449416662973)",5830,Large,291.5,CDU,0,800,0
50,,o51,"(73.86176323396033, -82.00161497450132)",3980,Large,199.0,MCR,54,0,0
80,,o81,"(62.24416395622328, -69.75069643877805)",1670,Medium,83.5,ISB,0,0,57
173,,o174,"(72.04548849091111, -119.40991256546548)",800,Small,40.0,CDU,0,100,0
141,,o142,"(68.84458532453783, -107.97645179587276)",8870,Large,443.5,CDU,0,800,0
124,,o125,"(74.35211516052063, -90.19837219704148)",930,Small,46.5,CDU,0,100,0
28,,o29,"(70.09494677297306, -141.87073425638323)",1090,Small,54.5,CDU,0,100,0
220,,o221,"(68.96225805552139, -136.55228962883257)",7100,Large,355.0,CDU,0,800,0
74,,o75,"(64.05146245505661, -77.44978608987996)",250,Small,12.5,MCR,24,0,0
214,,o215,"(62.876152621334256, -109.93912844523146)",5690,Large,284.5,CDU,0,800,0
87,,o88,"(62.320885889767744, -65.36742522113936)",3850,Large,192.5,MCR,54,0,0
186,,o187,"(69.53712126783223, -133.21758183905516)",5620,Large,281.0,ISB,0,0,257
83,,o84,"(63.0117192156485, -73.35447129239368)",4460,Large,223.0,CDU,0,800,0
39,,o40,"(71.09250978235556, -120.92531763952243)",6340,Large,317.0,MCR,54,0,0
204,,o205,"(61.295031779690376, -114.58986777481222)",8230,Large,411.5,CDU,0,800,0
19,,o20,"(60.96414683385387, -115.82371672066182)",8170,Large,408.5,MCR,54,0,0
43,,o44,"(63.78303624100007, -76.34499499699996)",2910,Large,145.5,CDU,0,800,0
33,,o34,"(70.60729619212601, -149.79801495551752)",4160,Large,208.0,MCR,54,0,0
32,,o33,"(70.681140207655, -148.33568343024558)",7700,Large,385.0,MCR,54,0,0
190,,o191,"(63.67264697989824, -91.65957636365208)",9330,Large,466.5,CDU,0,800,0
107,,o108,"(74.13041980846197, -87.60536813220666)",250,Small,12.5,ISB,0,0,7
106,,o107,"(73.60427636290437, -84.55935613723193)",1360,Small,68.0,ISB,0,0,7
4,,o5,"(60.775278118169076, -63.41212184265701)",1160,Small,58.0,MCR,24,0,0
57,,o58,"(62.049856834373855, -91.91717874147915)",6540,Large,327.0,ISB,0,0,257
3,,o4,"(63.99531963827238, -76.21867695117875)",1090,Small,54.5,MCR,24,0,0
147,,o148,"(67.18986663807861, -107.7369304833852)",8640,Large,432.0,ISB,0,0,257
207,,o208,"(61.94973840719627, -112.75313636937388)",5420,Large,271.0,ISB,0,0,257
162,,o163,"(69.08988419440739, -115.22715167910987)",900,Small,45.0,CDU,0,100,0
217,,o218,"(62.88357719363138, -110.37292789149316)",300,Small,15.0,MCR,24,0,0
1,,o2,"(61.99735832040513, -92.36804572739923)",21000,ExtLarge,1050.0,MCR,78,0,0
76,,o77,"(63.850499892280624, -83.37589951127687)",3730,Large,186.5,ISB,0,0,257
136,,o137,"(68.60055405743331, -103.02692376758618)",4420,Large,221.0,ISB,0,0,257
9,,o10,"(71.31437035269701, -69.4633863811805)",850,Small,42.5,ISB,0,0,7
100,,o101,"(73.50664632584939, -84.9442531960175)",8370,Large,418.5,ISB,0,0,257
139,,o140,"(68.61088316065039, -100.47098567249687)",7540,Large,377.0,CDU,0,800,0
212,,o213,"(62.65633530378757, -111.28199524772351)",9750,Large,487.5,CDU,0,800,0
219,,o220,"(69.24304799574003, -137.32628644705787)",40,Small,2.0,CDU,0,100,0
133,,o134,"(69.40314705680032, -94.05186925426825)",4440,Large,222.0,CDU,0,800,0
34,,o35,"(70.39398583832822, -145.02156832230372)",3030,Large,151.5,MCR,54,0,0
