,Unnamed: 0,Spill #,Coordinates,Spill size,Spill Size Type,Resource needed,1st Ranking,Skimmer,Dispersant,Burning materials
98,,o99,"(72.74823151708713, -78.00626226670953)",2780,Medium,139.0,MCR,32,0,0
185,,o186,"(69.65900176755282, -133.00468643867222)",2900,Large,145.0,CDU,0,800,0
68,,o69,"(64.05066024217525, -83.19338002718928)",670,Small,33.5,MCR,24,0,0
128,,o129,"(69.29654090896803, -81.60262809346669)",8910,Large,445.5,CDU,0,800,0
172,,o173,"(72.58580863436453, -118.6375989984033)",9440,Large,472.0,CDU,0,800,0
92,,o93,"(64.23984829032568, -63.44266050044166)",7420,Large,371.0,MCR,54,0,0
62,,o63,"(62.38534533059043, -91.54392333940193)",7530,Large,376.5,ISB,0,0,257
72,,o73,"(63.72899507480532, -78.1097043191964)",3950,Large,197.5,CDU,0,800,0
160,,o161,"(68.74592688463166, -113.81078630074735)",9850,Large,492.5,CDU,0,800,0
124,,o125,"(74.35211516052063, -90.19837219704148)",930,Small,46.5,CDU,0,100,0
11,,o12,"(75.20322914875858, -78.58728931501444)",1240,Small,62.0,MCR,24,0,0
119,,o120,"(76.18642266759578, -85.19263923120073)",7110,Large,355.5,ISB,0,0,257
26,,o27,"(69.72113519208533, -139.68410856539091)",9260,Large,463.0,CDU,0,800,0
146,,o147,"(67.7826361707032, -108.49048393954631)",400,Small,20.0,ISB,0,0,7
0,,o1,"(63.31720065616187, -90.65327442130385)",20000,ExtLarge,1000.0,CDU,0,1400,0
203,,o204,"(69.34680717325818, -117.11179869882808)",3820,Large,191.0,MCR,54,0,0
64,,o65,"(62.66616809334966, -91.38626790248023)",3820,Large,191.0,ISB,0,0,257
17,,o18,"(68.04341304792781, -114.42352452678259)",550,Small,27.5,ISB,0,0,7
1,,o2,"(61.99735832040513, -92.36804572739923)",21000,ExtLarge,1050.0,MCR,78,0,0
208,,o209,"(61.48567202760547, -114.25987964031395)",20,Small,1.0,MCR,24,0,0
7,,o8,"(75.56344329900006, -79.39089303999998)",5460,Large,273.0,ISB,0,0,257
173,,o174,"(72.04548849091111, -119.40991256546548)",800,Small,40.0,CDU,0,100,0
103,,o104,"(75.79558375563647, -80.47523646154465)",2870,Large,143.5,CDU,0,800,0
104,,o105,"(73.88189194550003, -78.43285281799996)",7320,Large,366.0,MCR,54,0,0
35,,o36,"(70.50120289325197, -147.62753194607055)",8860,Large,443.0,CDU,0,800,0
66,,o67,"(64.25104027351942, -95.86234765973384)",1300,Small,65.0,ISB,0,0,7
130,,o131,"(69.31371327858832, -94.53252534894514)",480,Small,24.0,MCR,24,0,0
215,,o216,"(62.42660173172218, -111.36708095811998)",110,Small,5.5,ISB,0,0,7
180,,o181,"(70.01613233374715, -131.52472400599697)",5400,Large,270.0,MCR,54,0,0
29,,o30,"(70.20526723210095, -143.45507470347903)",5700,Large,285.0,MCR,54,0,0
135,,o136,"(69.03035256138071, -94.82276525307002)",1840,Medium,92.0,MCR,32,0,0
154,,o155,"(68.04480534914845, -112.64429531845111)",5550,Large,277.5,MCR,54,0,0
75,,o76,"(63.96094776208527, -83.26973608946932)",8170,Large,408.5,ISB,0,0,257
27,,o28,"(69.80766220076015, -140.9624611305343)",20,Small,1.0,MCR,24,0,0
97,,o98,"(73.85872545439102, -77.06292927588505)",4820,Large,241.0,MCR,54,0,0
148,,o149,"(66.97133695259294, -107.84159248669971)",590,Small,29.5,MCR,24,0,0
218,,o219,"(69.51718037557096, -138.17161442754)",1750,Medium,87.5,CDU,0,200,0
207,,o208,"(61.94973840719627, -112.75313636937388)",5420,Large,271.0,ISB,0,0,257
102,,o103,"(73.9533098894819, -84.66397820780995)",2340,Medium,117.0,CDU,0,200,0
199,,o200,"(59.673583631830375, -81.61227363363473)",7290,Large,364.5,MCR,54,0,0
99,,o100,"(72.66184316713998, -75.24928853834892)",9590,Large,479.5,CDU,0,800,0
139,,o140,"(68.61088316065039, -100.47098567249687)",7540,Large,377.0,CDU,0,800,0
