,Unnamed: 0,Spill #,Coordinates,Spill size,Spill Size Type,Resource needed,1st Ranking,Skimmer,Dispersant,Burning materials
88,,o89,"(61.433132300613266, -63.697139433135625)",3180,Large,159.0,MCR,54,0,0
158,,o159,"(69.17592919912612, -116.22757658575439)",2510,Medium,125.5,ISB,0,0,57
219,,o220,"(69.24304799574003, -137.32628644705787)",40,Small,2.0,CDU,0,100,0
4,,o5,"(60.775278118169076, -63.41212184265701)",1160,Small,58.0,MCR,24,0,0
45,,o46,"(63.234507475578994, -82.34986282998018)",6280,Large,314.0,CDU,0,800,0
154,,o155,"(68.04480534914845, -112.64429531845111)",5550,Large,277.5,MCR,54,0,0
144,,o145,"(68.90685321866324, -107.22305801736705)",710,Small,35.5,ISB,0,0,7
194,,o195,"(68.24436354352724, -135.2450183567887)",8560,Large,428.0,MCR,54,0,0
176,,o177,"(70.14045441002439, -123.53033843705632)",9810,Large,490.5,CDU,0,800,0
65,,o66,"(62.621525060942545, -91.40995008573063)",5080,Large,254.0,CDU,0,800,0
90,,o91,"(61.690864687328215, -64.0055591963873)",7980,Large,399.0,ISB,0,0,257
73,,o74,"(64.50421666200003, -79.40601964599995)",8500,Large,425.0,CDU,0,800,0
102,,o103,"(73.9533098894819, -84.66397820780995)",2340,Medium,117.0,CDU,0,200,0
16,,o17,"(73.863248393878, -82.21842240218626)",6820,Large,341.0,MCR,54,0,0
53,,o54,"(59.92378260826657, -94.01648338111892)",720,Small,36.0,ISB,0,0,7
60,,o61,"(62.511501191529646, -91.4601644059024)",6430,Large,321.5,ISB,0,0,257
129,,o130,"(69.49515090110985, -93.58442983407755)",3230,Large,161.5,ISB,0,0,257
19,,o20,"(60.96414683385387, -115.82371672066182)",8170,Large,408.5,MCR,54,0,0
188,,o189,"(68.67783396782777, -64.47432715663773)",7730,Large,386.5,MCR,54,0,0
135,,o136,"(69.03035256138071, -94.82276525307002)",1840,Medium,92.0,MCR,32,0,0
138,,o139,"(68.48104166867869, -96.72736543706715)",5970,Large,298.5,MCR,54,0,0
58,,o59,"(62.767265615617305, -91.76430214931487)",5320,Large,266.0,ISB,0,0,257
64,,o65,"(62.66616809334966, -91.38626790248023)",3820,Large,191.0,ISB,0,0,257
89,,o90,"(60.18887183950005, -63.03309323849996)",5920,Large,296.0,CDU,0,800,0
153,,o154,"(68.50881850976059, -113.56029332614887)",8620,Large,431.0,MCR,54,0,0
213,,o214,"(62.76846511499132, -109.3384734295116)",1530,Medium,76.5,CDU,0,200,0
57,,o58,"(62.049856834373855, -91.91717874147915)",6540,Large,327.0,ISB,0,0,257
41,,o42,"(70.79347316566836, -122.60064198736225)",5430,Large,271.5,MCR,54,0,0
209,,o210,"(61.492133060791765, -113.89151294299599)",180,Small,9.0,CDU,0,100,0
76,,o77,"(63.850499892280624, -83.37589951127687)",3730,Large,186.5,ISB,0,0,257
164,,o165,"(70.52990316014335, -121.80625539910771)",960,Small,48.0,CDU,0,100,0
7,,o8,"(75.56344329900006, -79.39089303999998)",5460,Large,273.0,ISB,0,0,257
26,,o27,"(69.72113519208533, -139.68410856539091)",9260,Large,463.0,CDU,0,800,0
119,,o120,"(76.18642266759578, -85.19263923120073)",7110,Large,355.5,ISB,0,0,257
150,,o151,"(68.13950209511573, -113.42097605555624)",9740,Large,487.0,MCR,54,0,0
1,,o2,"(61.99735832040513, -92.36804572739923)",21000,ExtLarge,1050.0,MCR,78,0,0
55,,o56,"(61.28059062663438, -93.24050320300437)",3830,Large,191.5,ISB,0,0,257
134,,o135,"(69.22765564655587, -94.64195473794307)",3330,Large,166.5,MCR,54,0,0
78,,o79,"(63.42721743087256, -74.94781314446465)",4360,Large,218.0,CDU,0,800,0
22,,o23,"(71.38061764992644, -127.39770370175974)",7540,Large,377.0,ISB,0,0,257
118,,o119,"(76.69524596908194, -89.59222304273278)",850,Small,42.5,CDU,0,100,0
200,,o201,"(66.82674006457319, -80.42932645870972)",3140,Large,157.0,CDU,0,800,0
137,,o138,"(68.64421655359281, -99.32372466621469)",2730,Medium,136.5,MCR,32,0,0
9,,o10,"(71.31437035269701, -69.4633863811805)",850,Small,42.5,ISB,0,0,7
52,,o53,"(58.851133884186325, -94.20693472697955)",3200,Large,160.0,ISB,0,0,257
100,,o101,"(73.50664632584939, -84.9442531960175)",8370,Large,418.5,ISB,0,0,257
139,,o140,"(68.61088316065039, -100.47098567249687)",7540,Large,377.0,CDU,0,800,0
23,,o24,"(71.0263633424708, -127.7679693701022)",5260,Large,263.0,CDU,0,800,0
94,,o95,"(67.38710856267873, -62.07480657202071)",2610,Medium,130.5,ISB,0,0,57
146,,o147,"(67.7826361707032, -108.49048393954631)",400,Small,20.0,ISB,0,0,7
125,,o126,"(69.17440960666154, -81.12327214048015)",270,Small,13.5,CDU,0,100,0
181,,o182,"(69.59976646457682, -133.1012802600841)",2560,Medium,128.0,CDU,0,200,0
123,,o124,"(74.247414220806, -88.98871993609323)",7270,Large,363.5,MCR,54,0,0
178,,o179,"(69.57814395413881, -123.63714273588194)",5520,Large,276.0,ISB,0,0,257
97,,o98,"(73.85872545439102, -77.06292927588505)",4820,Large,241.0,MCR,54,0,0
12,,o13,"(68.62536468650006, -95.83653120849996)",6160,Large,308.0,CDU,0,800,0
21,,o22,"(67.67039190028026, -134.39853014621025)",2000,Medium,100.0,ISB,0,0,57
193,,o194,"(66.34168907989162, -129.46790900649174)",9580,Large,479.0,ISB,0,0,257
39,,o40,"(71.09250978235556, -120.92531763952243)",6340,Large,317.0,MCR,54,0,0
0,,o1,"(63.31720065616187, -90.65327442130385)",20000,ExtLarge,1000.0,CDU,0,1400,0
149,,o150,"(68.41233483864389, -113.73033936585581)",9550,Large,477.5,CDU,0,800,0
185,,o186,"(69.65900176755282, -133.00468643867222)",2900,Large,145.0,CDU,0,800,0
46,,o47,"(73.14326416751896, -85.52061338957746)",2400,Medium,120.0,MCR,32,0,0
172,,o173,"(72.58580863436453, -118.6375989984033)",9440,Large,472.0,CDU,0,800,0
67,,o68,"(64.17368927156971, -95.39797114837724)",9690,Large,484.5,ISB,0,0,257
17,,o18,"(68.04341304792781, -114.42352452678259)",550,Small,27.5,ISB,0,0,7
174,,o175,"(69.40719270339133, -123.96592127270287)",7510,Large,375.5,CDU,0,800,0
32,,o33,"(70.681140207655, -148.33568343024558)",7700,Large,385.0,MCR,54,0,0
142,,o143,"(68.94250642624877, -106.2117851254049)",6440,Large,322.0,ISB,0,0,257
44,,o45,"(63.01325610670355, -87.62855894112394)",6320,Large,316.0,CDU,0,800,0
28,,o29,"(70.09494677297306, -141.87073425638323)",1090,Small,54.5,CDU,0,100,0
72,,o73,"(63.72899507480532, -78.1097043191964)",3950,Large,197.5,CDU,0,800,0
120,,o121,"(76.79675252883519, -89.62904959361312)",1580,Medium,79.0,MCR,32,0,0
126,,o127,"(69.34861658538865, -81.73474662214561)",4650,Large,232.5,MCR,54,0,0
128,,o129,"(69.29654090896803, -81.60262809346669)",8910,Large,445.5,CDU,0,800,0
183,,o184,"(70.11707756435888, -131.62072900213448)",620,Small,31.0,ISB,0,0,7
165,,o166,"(69.86841673337953, -118.9489084963011)",5500,Large,275.0,CDU,0,800,0
110,,o111,"(77.3499153736386, -69.69027455288698)",9950,Large,497.5,CDU,0,800,0
192,,o193,"(62.185464677435625, -121.02513524883052)",8380,Large,419.0,MCR,54,0,0
199,,o200,"(59.673583631830375, -81.61227363363473)",7290,Large,364.5,MCR,54,0,0
222,,o223,"(69.16983336558708, -137.1909711618563)",6570,Large,328.5,ISB,0,0,257
182,,o183,"(69.80106747616216, -132.82325328547842)",3510,Large,175.5,MCR,54,0,0
92,,o93,"(64.23984829032568, -63.44266050044166)",7420,Large,371.0,MCR,54,0,0
91,,o92,"(66.01402281810057, -66.13428184797341)",5670,Large,283.5,CDU,0,800,0
157,,o158,"(69.42589738150005, -117.38345517449997)",7090,Large,354.5,CDU,0,800,0
62,,o63,"(62.38534533059043, -91.54392333940193)",7530,Large,376.5,ISB,0,0,257
108,,o109,"(77.0037458085796, -74.23688601460837)",4050,Large,202.5,CDU,0,800,0
54,,o55,"(58.98118836700004, -94.19345370699995)",690,Small,34.5,MCR,24,0,0
82,,o83,"(63.41049885410371, -68.10900360449682)",8120,Large,406.0,MCR,54,0,0
105,,o106,"(72.81168199886528, -77.5384227852805)",8230,Large,411.5,MCR,54,0,0
195,,o196,"(67.60082588886198, -134.7428604222584)",7800,Large,390.0,MCR,54,0,0
145,,o146,"(67.58089452286133, -107.94493778969186)",6050,Large,302.5,MCR,54,0,0
216,,o217,"(62.83142365858523, -109.67662006555832)",2050,Medium,102.5,MCR,32,0,0
42,,o43,"(70.5897855138361, -120.20613457011686)",5790,Large,289.5,ISB,0,0,257
112,,o113,"(79.9892204360485, -86.26046090965922)",6370,Large,318.5,CDU,0,800,0
161,,o162,"(69.47676593300005, -117.55508288599998)",3230,Large,161.5,ISB,0,0,257
186,,o187,"(69.53712126783223, -133.21758183905516)",5620,Large,281.0,ISB,0,0,257
29,,o30,"(70.20526723210095, -143.45507470347903)",5700,Large,285.0,MCR,54,0,0
166,,o167,"(70.90146046218906, -125.06163110543224)",2030,Medium,101.5,CDU,0,200,0
