,Unnamed: 0,Spill #,Coordinates,Spill size,Spill Size Type,Resource needed,1st Ranking,Skimmer,Dispersant,Burning materials
48,,o49,"(74.29436777063665, -76.886204417729)",1260,Small,63.0,CDU,0,100,0
155,,o156,"(68.04159285311455, -111.91245420200185)",1950,Medium,97.5,CDU,0,200,0
27,,o28,"(69.80766220076015, -140.9624611305343)",20,Small,1.0,MCR,24,0,0
119,,o120,"(76.18642266759578, -85.19263923120073)",7110,Large,355.5,ISB,0,0,257
122,,o123,"(74.44817555033204, -92.63255379086462)",9070,Large,453.5,ISB,0,0,257
113,,o114,"(79.10568207193272, -85.69568076457762)",5260,Large,263.0,MCR,54,0,0
168,,o169,"(70.62487977207968, -124.07225517408429)",7980,Large,399.0,CDU,0,800,0
17,,o18,"(68.04341304792781, -114.42352452678259)",550,Small,27.5,ISB,0,0,7
170,,o171,"(72.38798623909038, -119.11390364620482)",5530,Large,276.5,ISB,0,0,257
223,,o224,"(69.16983336558708, -138.1909711618563)",1820,Medium,91.0,CDU,0,200,0
195,,o196,"(67.60082588886198, -134.7428604222584)",7800,Large,390.0,MCR,54,0,0
129,,o130,"(69.49515090110985, -93.58442983407755)",3230,Large,161.5,ISB,0,0,257
51,,o52,"(65.41332188088147, -83.14953750470904)",5720,Large,286.0,ISB,0,0,257
152,,o153,"(67.96005174954085, -110.29820330849492)",6060,Large,303.0,CDU,0,800,0
20,,o21,"(61.09720726830651, -115.372447561338)",730,Small,36.5,ISB,0,0,7
179,,o180,"(70.49096884891965, -131.42970680507597)",6690,Large,334.5,CDU,0,800,0
126,,o127,"(69.34861658538865, -81.73474662214561)",4650,Large,232.5,MCR,54,0,0
207,,o208,"(61.94973840719627, -112.75313636937388)",5420,Large,271.0,ISB,0,0,257
177,,o178,"(69.45553911240434, -123.85642478117892)",6160,Large,308.0,MCR,54,0,0
176,,o177,"(70.14045441002439, -123.53033843705632)",9810,Large,490.5,CDU,0,800,0
212,,o213,"(62.65633530378757, -111.28199524772351)",9750,Large,487.5,CDU,0,800,0
185,,o186,"(69.65900176755282, -133.00468643867222)",2900,Large,145.0,CDU,0,800,0
16,,o17,"(73.863248393878, -82.21842240218626)",6820,Large,341.0,MCR,54,0,0
12,,o13,"(68.62536468650006, -95.83653120849996)",6160,Large,308.0,CDU,0,800,0
67,,o68,"(64.17368927156971, -95.39797114837724)",9690,Large,484.5,ISB,0,0,257
187,,o188,"(65.37405201963689, -60.65312823153994)",2680,Medium,134.0,MCR,32,0,0
135,,o136,"(69.03035256138071, -94.82276525307002)",1840,Medium,92.0,MCR,32,0,0
162,,o163,"(69.08988419440739, -115.22715167910987)",900,Small,45.0,CDU,0,100,0
165,,o166,"(69.86841673337953, -118.9489084963011)",5500,Large,275.0,CDU,0,800,0
110,,o111,"(77.3499153736386, -69.69027455288698)",9950,Large,497.5,CDU,0,800,0
37,,o38,"(70.71465633784543, -122.91004344688142)",7820,Large,391.0,ISB,0,0,257
146,,o147,"(67.7826361707032, -108.49048393954631)",400,Small,20.0,ISB,0,0,7
10,,o11,"(73.86053718700006, -82.34430385449997)",670,Small,33.5,ISB,0,0,7
81,,o82,"(62.76213160269137, -69.9622534121055)",4220,Large,211.0,CDU,0,800,0
164,,o165,"(70.52990316014335, -121.80625539910771)",960,Small,48.0,CDU,0,100,0
15,,o16,"(62.00729885632203, -62.82936093819682)",7330,Large,366.5,ISB,0,0,257
96,,o97,"(73.8681236543794, -80.30825079209184)",9250,Large,462.5,MCR,54,0,0
175,,o176,"(69.50998600005587, -123.74964599851127)",5280,Large,264.0,MCR,54,0,0
24,,o25,"(69.62626467075341, -138.8750452576395)",8980,Large,449.0,MCR,54,0,0
133,,o134,"(69.40314705680032, -94.05186925426825)",4440,Large,222.0,CDU,0,800,0
144,,o145,"(68.90685321866324, -107.22305801736705)",710,Small,35.5,ISB,0,0,7
99,,o100,"(72.66184316713998, -75.24928853834892)",9590,Large,479.5,CDU,0,800,0
192,,o193,"(62.185464677435625, -121.02513524883052)",8380,Large,419.0,MCR,54,0,0
100,,o101,"(73.50664632584939, -84.9442531960175)",8370,Large,418.5,ISB,0,0,257
109,,o110,"(77.28026321669991, -69.57542191844341)",2100,Medium,105.0,CDU,0,200,0
203,,o204,"(69.34680717325818, -117.11179869882808)",3820,Large,191.0,MCR,54,0,0
112,,o113,"(79.9892204360485, -86.26046090965922)",6370,Large,318.5,CDU,0,800,0
62,,o63,"(62.38534533059043, -91.54392333940193)",7530,Large,376.5,ISB,0,0,257
139,,o140,"(68.61088316065039, -100.47098567249687)",7540,Large,377.0,CDU,0,800,0
201,,o202,"(64.31928988420061, -78.57678652571602)",9150,Large,457.5,ISB,0,0,257
98,,o99,"(72.74823151708713, -78.00626226670953)",2780,Medium,139.0,MCR,32,0,0
190,,o191,"(63.67264697989824, -91.65957636365208)",9330,Large,466.5,CDU,0,800,0
136,,o137,"(68.60055405743331, -103.02692376758618)",4420,Large,221.0,ISB,0,0,257
