,Max coverage,Min cost
0,"[983.2685479933318, 983.283465189947]","[-3329.298416666667, 750.0]"
1,"[861.444168985726, 861.444168985726]","[-3554.2802777777783, 750.0]"
2,"[1058.6116859761194, 1058.6116859761194]","[-3758.6510000000003, 750.0]"
3,"[1030.0745691816767, 1030.0806106217494]","[-3065.6589166666668, 750.0]"
4,"[857.3878790045762, 857.3974809737064]","[-3614.749527777778, 750.0]"
5,"[964.4438154837482, 964.4438154837482]","[-2670.7817777777777, 750.0]"
6,"[1014.2830940235084, 1014.3042527837018]","[-3846.3369444444456, 750.0]"
7,"[957.4242961352938, 957.4264645494095]","[-4142.844055555556, 750.0]"
8,"[1057.6977514510677, 1057.6977514510677]","[-3962.5234444444454, 750.0]"
9,"[1040.4343760991133, 1040.4343760991133]","[-4026.4220000000005, 750.0]"
